Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
adam			człowiek; mężczyzna	
masa			stół; tabela	
oda			pokój; izba	
kapalı			zamknięty; pochmurny; zamknięte	
su			woda; sok	
nasıl			jaki? jak?; jaki; jak	
kısa			krótki	
uzun			długi	
kalın			gruby	
boş			pusty; wolny	
duvar			ściana	
ufak			mały; drobny	
kadın			kobieta	
açık			otwarty; jasny; otwarcie; jasno	o kolorze
altı			sześć	
çok			bardzo; dużo	
ad			imię; nazwa	
bir			jeden; jakiś	
ev			dom	
evet			tak	
ne			co? jaki? co za?; co	
anne			matka; mama	
söz			słowo	
çanta			teczka; torba	
kalem			pióro do pisania; długopis; ołówek; pióro	
merhaba			dzień dobry; cześć	
üç			trzy	
üzüm			winogrona; winogrono	
sokak			ulica	
saat			godzina; zegar	
Rus			rosjanin; rosyjski	
Ankara			Ankara	
İstanbul			Stambuł	
sınıf			klasa; rodzaj wojsk; kurs	
doktor			doktor; lekarz	
bilet			bilet	
lokanta			stołówka; restauracja	
okul			szkoła	
konuşma			rozmowa; dialog	
defter			zeszyt	
ders			lekcja; zajęcia	
dil			język	
dört			cztery	
efendi			pan; gospodarz	
otel			hotel	
telefon			telefon	
ütü			żelazko; żelazo	
beş			pięć	
ekmek			chleb	
kitap			książka; ksiązka	
kişi			człowiek; osoba	
küçük			mały; młodszy	
kim			kto?; kto	
yok			nie ma; nie istnieje	
yol			droga; ścieżka	
yirmi			dwadzieścia	
büyük			duży; wielki; starszy; dorosły	
yüz			sto; twarz	
soyadı			nazwisko	
Türk			Turek; turecki	
Türkçe			język turecki; po turecku	
teşekkür etmek			dziękować	
beyaz			biały	
iyi			dobry; dobrze; zdrowy	
Rusya			Rosja	
Türkiye			Turcja	
renk			kolor	
sandalye			krzesło	
Rusça			język rosyjski; po rosyjsku	
vişne			wiśnia; wiśniowy	
şapka			czapka; kapelusz	
zaman			czas	
cam			szkło; szklany; sosna	
ince			cienki	
pencere			okno	
herkes			każdy; wszyscy	
ağaç			drzewo	
değil			nie	
gazete			gazeta	
gün			dzień; doba	
güneş			słońce	
beyefendi			proszę pana	
güle güle			do widzenia; szczęśliwej drogi	
çocuk			dziecko; chłopczyk	
iki			dwa	
yedi			siedem	
sekiz			osiem	
dokuz			dziewięć	
on			dziesięć	
otuz			trzydzieści	
kırk			czterdzieści	
elli			pięćdziesiąt	
altmış			sześćdziesiąt	
yetmiş			siedemdziesiąt	
seksen			osiemdziesiąt	
doksan			dziewięćdziesiąt	
bin			tysiąc	
bir milyon			milion	
boy			wzrost; rozmiar	
hayır			nie; dobro	
şehir			miasto	
üniversite			uniwersytet	
tarih			historia; data	
öğrenci			uczeń; student	
kütüphane			biblioteka	
çiçek			kwiatek; kwiat	
acaba			zastanawiam się czy może?	
açmak			otwierać	
adres			adres	
affetmek			wybaczyć	
afiyet			zdrowie	
alfabe			alfabet	
Almanca			niemiecki	
Almanya			Niemcy	
altmış iki			sześćdziesiąt dwa	
anahtar			klawisz	
anlamak			zrozumieć	
araba			samochód	
Arap			arabski	
Arapça			język arabski	
Arnavut			albański	
Arnavutça			język albański	
Arnavutluk			Albania	
Astana			Astana	
et			mięso	
ayakkabı			but	
ayakkabılık			stojak na buty	
bahçıvan			ogrodnik	
balıkçı			rybak	
basit			prosty	
başkent			stolica	
bavul			walizka	
bebek			dziecko	
beceri			umiejętność	
Belçika			Belgia	
ben			ja	
bilgi			informacja	
bilgisayar			komputer	
bilmek			wiedzieć	
Bosna-Hersek			bośniacko-hercegowiński	
Bosna-Hersekli			Bośnia i Hercegowina	
boşluk			przestrzeń	
boyacı			malarz	
bölüm			sekcja	
Brüksel			Bruksela	
Bulgar			bułgarski	
Bulgarca			język bułgarski	
Bulgaristan			bułgaria	
