Phrase	Grammar	Transcription	Translation	Notes
# === a1-1 ===
baba			ojciec; tata	
masa			stół; tabela	
oda			pokój; izba	
kapı			drzwi; wrota	
saç			włos; włosy	
kız			dziewczynka; córka; dziewczyna	
kadın			kobieta	
çok			bardzo; dużo	
ad			imię; nazwa	
ev			dom	
dolap			szafa	
az			mało	
çanta			teczka; torba	
kalem			pióro do pisania; długopis; ołówek; pióro	
üzüm			winogrona; winogrono	
sokak			ulica	
para			pieniądze; moneta	
saat			godzina; zegar; zegarek	
numara			numer; ocena szkolna	
doktor			doktor; lekarz	
resim			rysunek; obraz	
isim			imię	
bilet			bilet	
lokanta			stołówka; restauracja	
defter			zeszyt	
ders			lekcja; zajęcia	
otel			hotel	
telefon			telefon	
temiz			czysty; czysto	
ekmek			chleb	
erkek			mężczyzna; samiec	
iş			praca	
kitap			książka; ksiązka	
kişi			człowiek; osoba	
köy			wieś; wioska	
büyük			duży; wielki; starszy; dorosły	
Rusya			Rosja	
Türkiye			Turcja	
sandalye			krzesło	
deniz			morze	
hiç			żaden; wcale	
pencere			okno	
ağaç			drzewo	
göz			oko	
güzel			piękny; pięknie	
bay			pan	
bayan			pani	
bey			pan	
hanım			kobieta; żona; pani	
çocuk			dziecko; chłopczyk	
bahçe			ogród; sad	
tahta			tablica	
öğretmen			nauczyciel; wykładowca	
öğrenci			uczeń; student	
kütüphane			biblioteka	
çiçek			kwiatek; kwiat	
kutu			pudełko	
silgi			gumka do ścierania; gumka	
sözlük			słownik	
elma			jabłko	
radyo			radio	
top			piłka	
balık			ryba	
makas			nożyce; nożyczki	
yüzük			pierścień; pierścionek	
bardak			szkło; szklanka	
uçak			samolot	
yemek			jedzenie; jeść	
arkadaş			przyjaciel; towarzysz	
insan			człowiek; osoba	
mühendis			inżynier	
soru			pytanie	
lütfen			proszę	
merdiven			schody	
bayram			święto	
kahve			kawa	
Almanya			Niemcy	
araba			samochód	
bebek			dziecko; niemowlę	
bilgisayar			komputer	
cami			meczet	
cetvel			linijka	
çay			herbata	
Çin			chiński; Chiny	
elbise			sukienka	
fare			mysz	
fındık			orzech laskowy	
Fransa			Francja	
görüşmek			spotkać; spotykać się	
hemşire			pielęgniarka	
Hoş bulduk.			Dziękuję.; Miło być gościem.	
Hoşça kal.			Do widzenia.	
ızgara			grill	
İngiltere			Anglia	
İtalya			Włochy	
Japonya			Japonia	
jeton			znak; żeton	
jilet			żyletka	
kedi			kot	
kuş			ptak	
limon			cytryna	
millet			naród	
nar			granat	
olmak			być	
otobüs			autobus	
ördek			kaczka	
park			park	
roman			powieść	
sıra			ławka; kolejka; kolejność	
şişe			butelka	
tavuk			kurczak	
vazo			wazon	
yıldız			gwiazda	
zeytin			oliwka	
zürafa			żyrafa	
alkol			alkohol	
anneler günü			Dzień Matki	
avukat			adwokat	
Avusturya			Austria	
banka			bank	
bulaşık			naczynia do zmycia	
büro			biuro	
ceviz			orzech włoski	
çamaşır			pranie	
çarşı			bazar	
doğum günü			urodziny	
düğün			wesele	
eczane			apteka	
fırça			szczotka	
film			film	
futbolcu			piłkarz	
garson			kelner	
gül			róża	
hâl			stan	
halı			dywan	
hastalık			choroba	
havuç			marchewka	
hayal			marzenie	
ıspanak			szpinak	
ideal			idealny	
inek			krowa	
İspanya			Hiszpania	
kafe			kawiarnia	
kalabalık			tłum	
kalp			serce	
kira			czynsz	
koltuk			fotel	
Kore			Korea	
köpek			pies	
lale			tulipan	
mağaza			sklep	
meşgul			zajęty	
metro			metro	
misal			przykład	
Nijerya			Nigeria	
orman			las	
paket			paczka	
pardösü			płaszcz	
patates			ziemniak	
petrol			benzyna	
piyano			pianino	
polis			policja	
portakal			pomarańcza	
postacı			listonosz	
rol			rola	
salon			salon	
sembol			symbol	
seyahat			podróż	
sorun			problem	
Suriye			Syria	
şarkıcı			piosenkarz	
şemsiye			parasol	
turist			turysta	
uçurtma			latawiec	
vagon			wagon	
yabancı			obcokrajowiec	
yeni yıl			nowy rok	
etmek			robić	czasownik posiłkowy
gelmek			przychodzić	
Affedersiniz.			Przepraszam.	
Afiyet olsun.			Smacznego.	
Bol şanslar.			Dużo szczęścia.	
Çok yaşa.			Na zdrowie.	
Geçmiş olsun.			Szybkiego powrotu do zdrowia.	
Görüşürüz.			Do zobaczenia.	
Görüşmek üzere.			Do zobaczenia.	
Güle güle.			Do widzenia.	
Günaydın.			Dzień dobry.	
Hoş geldin.			Witaj.	
Lütfen.			Proszę.	
Merhaba.			Cześć.	
Özür dilerim.			Przepraszam.	
Rica ederim.			Nie ma za co.	
Tamam.			Dobrze.	
Tebrikler.			Gratulacje.	
Üzgünüm.			Przykro mi.	
# === a1-2 ===
kapalı			zamknięty; pochmurny; zamknięte	
boş			pusty; wolny	
dar			wąski; ciasny; waski	
duvar			ściana	
çalışkan			pracowity; staranny	
açık			otwarty; jasny; otwarcie; jasno	o kolorze
kırmızı			czerwony	
bina			budynek	
kaç			ile	
burada			tutaj	
orada			tam	
nerede			gdzie?; gdzie	
koridor			korytarz	
uzak			daleki; daleko	
kat			piętro	
tembel			leniwy	
kötü			zły	
kolay			łatwy; łatwo	
yok			nie ma; nie istnieje	
soyadı			nazwisko	
şimdi			teraz; obecnie	
iyi			dobry; dobrze; zdrowy	
ay			księżyc; miesiąc	
yıl			rok	
bekâr			kawaler; nie żonaty; panna	
evli			żonaty; zamężna	
her			każdy	
akşam			wieczór	
sabah			poranek; rano	
sıcak			gorący; upał; gorąco	
gazete			gazeta	
geniş			obszerny; przestronny; szeroki	
gün			dzień; doba	
bugün			dzisiaj	
gündüz			dzień; w ciągu dnia	
şehir			miasto	
tarih			historia; data	
yazı tahtası			tablica; tablica szkolna	
bütün			cały; wszystek; wszystko	
hasta			chory	
hastane			szpital	
postane			poczta; urząd pocztowy	
genç			młody człowiek; młody	
var			jest; istnieje; znajduje się	
lamba			lampa	
tabak			talerz; płyta	
çirkin			brzydki	
kuaför			fryzjer	
kitaplık			biblioteka; półka na książki	
mutfak			kuchnia	
yaşlı			stary; w podeszłym wieku	
tatil			wolny od pracy; dzień wolny; urlop	
yer			miejsce	
çünkü			dlatego że; ponieważ	
dolu			pełny; grad	
hafta sonu			weekend	
sayı			numer; ilość; liczba	
adres			adres	
anahtar			klawisz; klucz	
doğum tarihi			data urodzenia	
domates			pomidory; pomidor	
durak			zatrzymywać się; przystanek	
fırın			piekarnik; piekarnia	
mahalle			sąsiedztwo; dzielnica	
market			rynek; sklep spożywczy	
ofis			biuro	
önemli			ważny	
ucuz			tani	
üst			góra; szczyt; górny	
banka			bank	
aç			głodny	
alışveriş			zakupy	
alışveriş merkezi			centrum handlowe	
alt			dół; dolny	
artı			plus	
başarılı			odnoszący sukcesy	
birçok			wiele	
bölü			podzielone przez	
cesur			odważny	
ciddi			poważny	
çarpı			razy	
çöp kutusu			kosz na śmieci	
dağınık			nieuporządkowany	
dergi			magazyn	
dikkatli			ostrożny	
dikkatsiz			nieuważny	
dosya			teczka	
düzenli			regularny; uporządkowany	
eczacı			farmaceuta	
eğlenceli			zabawny	
eksi			minus	
fakir			biedny	
fark			różnica	
genellikle			zazwyczaj	
güçlü			silny	
güçsüz			słaby	
her zaman			zawsze	
