Phrase	Grammar	Transcription	Translation	Notes
қиз			dziewczynka
қичиқ			mały
қичиқ қиз			mała dziewczynka
оғул			chłopiec; syn
оғул бала			chłopiec
бала			dziecko; chłopak
яш			młody
яш қиз			dziewczynka
чоң			dorosły; dyży
чоң бала			duży chłopiec
чоң адәм			dorosły człowiek
аял			kobieta
ака			starszy brat	zwrot z szacunkiem do mężczyzny starszego od nas
һәдә			starsza siostra	zwrot z szacunkiem do kobiet starszych od siebie
жигит			młodzieniec; młody mężczyzna
бовақ			niemowlę
сүрәт			obraz
муәллим			nauczyciel
оқутқучи			nauczyciel
оқуғучи			uczeń
мәктәп			szkoła
талип			student
әлвәттә			oczywiście
алим			uczony
дохтур			doktor
җоза			stół na małych nóżkach
үстәл			stół
орундуқ			krzesło
деризә			okno
өй			dom
упа			puder
үкә			sówka
ука			młodszy brat i siostra
китап			książka
дәптәр			zeszyt
қәләм			długopis
қериндаш			ołówek
уйғур			Ujgur
уйғурчә			po ujgursku
ишт			pies
мөшүк			kot
дост			przyjaciel; przyjaciółka
әмәс			nie
яқ			nie
янфон			telefon komórkowy
қачан?			kiedy?
қәйәрдә?			gdzie?
нәдә?			gdzie?
