Phrase	Grammar	Transcription	Translation	Notes
гід			przewodnik	
вже			już	
уже			już
анкета			formularz; ankieta	
ключ			klucz	
таксі			taksówka	
країна			kraj	
професія			zawód	
вперше			po raz pierwszy	
уперше			po raz pierwszy	
Дніпро			Dniepr	
жити			żyć	
українського походження			ukraińskiego pochodzenia	
знати			wiedzieć; znać	
по батькові			część nazwiska od imienia ojca	
Добрий день!			Dzień dobry!	
Знайомтесь, будь ласка, це...			Poznajcie się, to jest...	
Ласкаво просимо!			Witamy!	
Повторіть, будь ласка.			Proszę powtórzyć.	
Прошу!			Proszę!	
Будь ласка!			Proszę!	
На жаль			Niestety	
Щиро дякую!			Dziękuję bardzo!	
сусід			sąsiad	
турист			tutysta	
валіза			walizka	
прізвище			nazwisko	
номер			numer	
паспорт			paszport	
