Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
добрий день			dzień dobry	
прошу заходити			proszę wejść	
як справи?			co słychać?	
а як ти?			a co u ciebie?	
непогано			nieźle	
сідай			usiądź	
дуже дякую			dziękuję bardzo	
це			to	
його звуть			on się nazywa	
актор			aktor	
а			a	
моя			moja	
сестра			siostra	
яка			jaka	
вона			ona	
твоя			twoja	
так			tak	
її звуть			ona się nazywa	
математик			matematyk	
то			tamto	
також			także	
він українець?			on jest Ukraińcem?	
американець			Amerykanin	
хлопчик			chłopiec	
журналіст			dziennikarz	
автомобіль			samochód	
церква			cerkiew	
любов			miłość	
здоров'я			zdrowie	
донька			córka	
небо			niebo	
море			morze	
цирк			cyrk	
олівець			ołówek	
воно			ono	
який			jaki	
яке			jakie	
гарний			ładny	
зелений			zielony	
синій			niebieski	
поле			pole	
він			on	
вони			oni	
чия?			czyja?	
чиє?			czyje?	
ім'я			imię	
книга			książka	
тебе			ciebie	
вас			was	
лялька			lalka	
дерево			drzewo	
ґанок			ganek	
квітка			kwiatek	
жінка			kobieta	
сонце			słońce	
великий			duży	
красивий			piękny	
цікавий			ciekawy	
теплий			ciepły	
високий			wysoki	
маленький			mały	
кіт			latawiec	
папір			papier	
низький			niski	
кущ			krzak	
мама			mama	
фото			zdjęcie	
син			syn	
лампа			lampa	
будинок			budynek	
ні			nie	
не			nie	
день			dzień	
стілець			krzesło	
вікно			okno	
я			ja	
мій			mój	
ти			ty	
яблуко			jabłko	
музикант			muzyk	
хто?			kto?	
що?			co?	
ми			my	
ви			wy	
чий?			czyj?	
дівчина			dziewczyna	
брат			brat	
ручка			długopis	
друг			kolega; przyjaciel	
її			jej; ją	
учитель			nauczyciel	
добре			dobrze	
дякую			dziękuję	
добридень			dzień dobry	
будь ласка			proszę	
українець			ukrainiec	
чоловік			mąż; mężczyzna	
професія			zawód	
прізвище			nazwisko	
