Phrase	Grammar	Transcription	Translation	Notes
добрий день			dzień dobry	
добридень			dzień dobry	
прошу заходити			proszę wejść	
як справи?			co słychać?	
дякую			dziękuję	
добре			dobrze	
а як ти?			a co u ciebie?	
непогано			nieźle	
сідай			usiądź	
будь ласка			proszę	
дуже дякую			dziękuję bardzo	
це			to	
мій			mój	
його звуть			on się nazywa	
актор			aktor	
а			a	
моя			moja	
сестра			siostra	
її			ją	
яка			jaka	
вона			ona	
музикант			muzyk	
твоя			twoja	
так			tak	
її звуть			ona się nazywa	
математик			matematyk	
то			tamto	
також			także	
ні			nie	
не			nie	
українець			Ukrainiec	
він українець?			on jest Ukraińcem?	
американець			Amerykanin	
професія			zawód	
хлопчик			chłopiec	
журналіст			dziennikarz	
автомобіль			samochód	
церква			cerkiew	
фото			zdjęcie	
день			dzień	
любов			miłość	
здоров'я			zdrowie	
син			syn	
брат			brat	
донька			córka	
небо			niebo	
море			morze	
вікно			okno	
цирк			cyrk	
лампа			lampa	
олівець			ołówek	
воно			ono	
який			jaki	
яке			jakie	
гарний			ładny	
зелений			zielony	
синій			niebieski	
будинок			budynek	
дівчина			dziewczyna	
поле			pole	
я			ja	
ти			ty	
він			on	
вона			ona	
воно			ono	
ми			my	
ви			wy	
вони			oni	
чий?			czyj?	
чия?			czyja?	
чиє?			czyje?	
ім'я			imię	
книга			książka	
хто?			kto?	
що?			co?	
прізвище			nazwisko	
тебе			ciebie	
вас			was	
друг			przyjaciel	
учитель			nauczyciel	
мама			mama	
лялька			lalka	
чоловік			mężczyzna	
дерево			drzewo	
ґанок			ganek	
квітка			kwiatek	
ручка			długopis	
яблуко			jabłko	
жінка			kobieta	
сонце			słońce	
великий			duży	
красивий			piękny	
цікавий			ciekawy	
теплий			ciepły	
високий			wysoki	
маленький			mały	
стілець			krzesło	
кіт			latawiec	
папір			papier	
низький			niski	
кущ			krzak	
