Phrase	Grammar	Transcription	Translation	Notes
aka			brat
vatan			ojczyzna
kitob			książka
ayol			kobieta
xat			list
non			chleb
daftar			zeszyt
yo’l			droga
uy			dom
kishi			człowiek
aql			rozum
xabar			wiadoność
maktab			szkoła
dada			tata
yer			ziemia
suv			woda
gul			kwiatek
choy			herbata
mana bu			właśnie to
kim			kto
nima			co
aytmoq			powiedzieć
olmoq			brać
qilmoq			robić
ochmoq			otworzyć
bermoq			dać
o’tirmoq			usiąść
bormoq			pójść
uxlamoq			spać
yurmoq			iść
aqlli			rozumny
baland			wysoki
dono			mądry
haqiqiy			prawdziwy
issiq			gorący
katta			duży
kichik			młodszy
past			niski
sovuq			zimny
yaxshi			dobry
yosh			młody
chiroyli			ładny
bor			jest; istnieje
yo’q			nie ma; nie istnieje
bir			jeden
birinchi			pierwszy
yigirma			dwadzieścia
yigirmanchi			dwudziesty
ikki			dwa
ikkinchi			drugi
o’ttiz			trzydzieści
o’ttizinchi			trzydziesty
uch			trzy
uchinchi			trzeci
qirq			czterdzieści
qirqinchi			czterdziesty
to’rt			czterty
to’rtinchi			czwarty
ellik			pięćdziesiąt
elliginchi			pięćdziesiąty
besh			pięć
beshinchi			piąty
oltmish			sześćdziesiąt
oltmishinchi			sześćdziesiąty
olti			sześć
oltinchi			szósty
yetmish			siedemdziesiąt
yetmishinchi			siedemdziesiąty
yetti			siedem
yettinchi			siódmy
sakson			osiemdziesiąt
saksoninchi			osiemdziesiąty
sakkiz			osiem
sakkizinchi			ósmy
to’qson			dziewięćdziesiąt
to’qsoninchi			dziewięćdziesiąty
to’qqiz			dziewięć
to’qqizinchi			dziewiąty
yuz			sto
yuzinchi			setny
o’n			dziesięć
o’ninchi			dziesiąty
ming			tysiąc
minginchi			tysiączny
