Phrase	Grammar	Transcription	Translation	Notes
chợ			rynek; targowisko	
thị trương			rynek; targowisko	
máy bay			samolot	
sân bay			lotnisko	
trường học			szkoła	
trường đại học			uniwersytet	
lớp học			lekcja	
thư viện			biblioteka	
nhà hàng			restauracja	
quán ăn			restauracja	
tiệm ăn			restauracja	
quán cà phê			kawiarnia	
cửa hàng			sklep	
trạm xăng			stacja benzynowa	
nhà sách			księgarnia	
bệnh viện			szpital	
phòng khám răng			gabinet dentystyczny	
bưu điện			poczta	
ngân hàng			bank	
tòa đại sứ			ambasada	
xe lửa			pociąg	
tàu hỏa			pociąg	
ga xe lửa			dworzec kolejowy	
ga tàu hỏa			dworzec kolejowy	
bến xe			dworzec autobusowy	
chiếc xe buýt			autobus	
chiếc xe đạp			rower	
chiếc ô tô			samochód	
chiếc xe hơi			samochód	
xe gắn máy			motocykl	
xe Honda			motocykl Honda	
bằng			przez	
đi			iść; jechać	
đến			przybyć	
làm			robić	
làm việc			pracować	
đi làm			iść do pracy	
cơm			ugotowany ryż	
nấu ăn			gotować	
ăn			jeść	
ăn cơm			jeść	
uống			pić	
được			można	
có thể			móc	
một ít			trochę	
học			uczyć się	
đi học			iść do szkoły	
biết			wiedzieć; umieć	
dạy			uczyć	
nói			mówić	
nói chuyện qua điện thoại			rozmawiać przez telefon	
đọc			czytać	
viết			pisać	
chơi			grać	
xem			oglądać	
thích			lubić	
đang ...			właśnie teraz ...	
bộ phim			film	
rạp chiếu phim			kino	
nhà hát			teatr	
nước			woda; płyn; sok	
nước uống			woda pitna	
nước suối			woda mineralny	
cam vắt			sok pomarańczowy	
cam ép			sok pomarańczowy	
cà phê			kawa	
sữa			mleko	
trà			herbata	
trà đá			herbata z lodem	
cà phê sữa đá			kawa z mlekiem i lodem	
bia			piwo	
rượu			alkohol	
rượu vang			wino	
rượu mạnh			wódka	
phở			rodzaj zupy z makaronem ryżowym	
bún			makaron	
mì			żółty makaron	
hủ tíu			makaron ryżowy	

