Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
tôi			ja	
tên			imię	
là			być	
khỏe			mieć się dobrze; w dobrym zdrowiu; zdrowy; silny	
xin lỗi			przepraszam; przepraszać	
đây			ten; tutaj; właśnie, teraz	partykuła finalna
gì			co; jaki	
dạ			tak; proszę pana, proszę pani; tak proszę Pana	partykuła poprzedzająca wypowiedź; partykuła wyrażająca uprzejmość
không			nie; zero	
ba			trzy; ojciec	w dialekcie południowym
trên			na	
với			z; do	
quá			bardzo dużo; zbyt; bardzo; tak bardzo	
họ			oni; nazwisko	
anh			ty; Anglia; starszy brat; angielski; older brother; he	do rówieśnika
chị			ty; starsza siostra	do rówieśniczki
em			młodszt brat; młodsza siostra; młodsze rodzeństwo	
đi			iść; jechać; iść, jechać	
đến			przybyć; do; przybywać; przybyć do	
được			można; móc; w porządku; musieć	
biết			wiedzieć; umieć	
gặp			spotkać; spotkać się	
chuyến bay			lot; flight	
từ			z	
Mỹ			Ameryka; amerykański	
Việt Nam			Wietnam	
chào			cześć! dzień dobry!; cześć; pozdrawiać	
rất			bardzo	
vui			szczęśliwy; wesoły	
xin			prosić	
giới thiệu			przedstawiać	
có			tak; mieć; istnieć; jest; istnieje	
có ... không?			czy?	
cám ơn			dziękować	
còn			a; ciągle mieć	
cũng			także, też; też	
hẹn			umówić się; mieć nadzieję; na spotkanie; umówić	
lại			znowu	
ngồi			siedzieć; się usiądć	
đứng			stać; stać się	
ông			pan	do starszej szanowanej osoby
bác			pan	do starszej osoby
cháu			ty	do młodszej osoby obojga płci
hân hạnh			zaszczycony; zaszczycać	
hơi			raczej	
mệt			zmęczony	
tiếp tục			kontynuować	
nói chuyện			rozmawiać	
ai			kto	
một mình			sam, samotnie	
bố			ojciec	w dialekcie północnym
mẹ			matka	w dialekcie północnym
má			matka	w dialekcie południowym
của			należący do	
buồn			smutny	
buồn ngủ			senny; zbudzony znużeniem	
về			wracać; iść z powrotem	
chỗ			fotel, miejsce siedzące; miejsce	
gái			kobieta	o osobie
trai			mężczyzna	o osobie
ngủ			spać; że śpię	
đi ngủ			iść spać	
# === 2 ===
có			tak; mieć; istnieć; jest; istnieje	
còn			a; ciągle mieć	
về			wracać; iść z powrotem	
nhân viên			pracownik	
hải quan			cło	
phi trường			lotnisko	w dialekcie południowym
cho			dać	
hộ chiếu			paszport	
Nhật			Japonia; japoński	
Việt			wietnamski	
Úc			Australia; australijski	
Đức			niemiecki; Niemcy	
Đài Loan			tajwański; Tajwan	
Pháp			francuski; Francja	
để			żeby; położyć; w celu	
du lịch			podróżować; podróżowanie; turystyka	
lần			raz	
đầu tiên			pierwszy	
phải			prawy; musieć; must; have to	
sẽ			będzie	partykuła czasu przyszłego; marker czasu przyszłego
đâu			gdzie?	
khách sạn			hotel	
số			numer; number; figure	
phố			ulica	w dialekcie północnym
đường			ulica	w dialekcie południowym
khá			dobrze; ok; quite	
sống			żyć	
mười sáu			szesnaście	
mười bảy			siedemnaście	
mười tám			osiemnaście	
mười chín			dziewiętnaście	
đói			głodny	
khát			spragniony	
khát nước			spragniony	
hãng			agencja; towarzystwo	
hàng không			linia lotnicza; aviation; air transport; airline	
va-li			walizka	
màu			kolor	
đen			czarny	
tìm thấy			znaleźć	
nâu			brązowy	
không có gì			nie ma za co	w dialekcie północnym
hành lý			bagaż; baggage	
nhà			dom; house; family	
trắng			biały	
đỏ			czerwony	
xanh dương			niebieski	
xanh da trời			niebieski	
xanh nước biển			niebieski	
xanh lá cây			zielony; zielony liść	
vàng			żółty; yellow; gold	
da cam			pomarańczowy	
xám			szary	
chúng tôi			my	z wyłączeniem słuchającego
chúng ta			my	włączając słuchającego
các ông			panowie	z szacunkiem do starszych mężczyzn
các bà			panie	z szacunkiem do starszych kobiet
các anh			wy	do rówieśników; do mężczyzn
các chị			wy	do rówieśniczek
các cô			panie	do młodych kobiet
các em			wy	do osób młodszych od mówiącego
bây giờ			teraz	
chờ			czekać; czekaj	
đợi			czekać	
người nhà			domownik	
ra			iść; wychodzić	
mời			zapraszać; zapraszam	
xe			pojazd	
tắc-xi			taksówka	
đang			w trakcie	partykuła czasu teraźniejszego
xe xích-lô			riksza	
xe đạp			rower	
xe máy			motocykl	
xe buýt			autobus	
xe ô-tô			samochód	w dialekcie północnym
xe hơi			samochód	w dialekcie południowym
xe ôm			taksówka motocyklowa	
xe cấp cứu			karetka	w dialekcie północnym
cứu thương			karetka	w dialekcie południowym
Phrase	Grammar	Transcription	Translation	Notes
tài xế			szofer; kierowca	
lên			wsiadać; do góry; w górę	
đô-la			dolar	
đô			dolar	
rồi			już	
gửi			dać; wysłać; doręczyć	(N)
gởi			dać	(S)
giá			cena; wartość; koszt; bobek	
tuổi			wiek	
chè			herbata	(N)
thuê			wynająć; wynajmować; zatrzymywać	(N)
mướn			wynająć	(S)
trống			wolny; niezajęty	
phòng đơn			pokój pojedynczy	
phòng đôi			pokój podwójny; podwójna sypialnia	
ạ			partykuła finalna wyrażająca uprzejmość	
trả			płacić	
đêm			noc	od 10-ej w nocy do 2-ej rano
máy điều hòa			klimatyzator	(N)
máy lạnh			klimatyzator	(S)
ti-vi			telewizor	
truyền hình			telewizor	
điện thoại			telefon	
vòi hoa sen			prysznic	
nóng			gorący; gorąca	
lạnh			zimny	
bồn tắm			wanna	
tốt			dobry	
mấy			ile	
ngày			dzień	
tuần			tydzień	
tầng			piętro; floor	(N)
lầu			piętro	(S)
tháng			miesiąc	
con			własne dziecko; child; baby	
hai (mươi) mốt			dwadzieścia jeden	
hai (mươi) hai			dwadzieścia dwa	
hai (mươi) ba			dwadzieścia trzy	
hai (mươi) tư/bốn			dwadzieścia cztery	
hai (mươi) lăm			dwadzieścia pięć	
hai (mươi) sáu			dwadzieścia sześć	
hai (mươi) bảy			dwadzieścia siedem	
hai (mươi) tám			dwadzieścia osiem	
hai (mươi) chín			dwadzieścia dziewięć	
ba (mươi) mốt			trzydzieści jeden	
ba (mươi) hai			trzydzieści dwa	
ba (mươi) ba			trzydzieści trzy	
ba (mươi) tư/bốn			trzydzieści cztery	
ba (mươi) lăm			trzydzieści pięć	
ba (mươi) sáu			trzydzieści sześć	
ba (mươi) bảy			trzydzieści siedem	
ba (mươi) tám			trzydzieści osiem	
ba (mươi) chín			trzydzieści dziewięć	
một trăm lỉnh/lẻ năm			sto pięć	
một nghìn/ngàn			tysiąc	
một nghìn/ngàn không trăm linh/lẻ năm			tysiąc pięć	
chìa khóa			klucz	
mang			nosić; przynieść	
à này			przy okazji	
đi ra			wyjść na zewnątrz	
bên cạnh			obok; przy; ramię w ramię	
nhưng			ale	
bữa sáng			śniadanie	
miễn phí			za darmo	
phòng ăn			jadalnia	
sáng mai			jutro rano	
xuống			zejść na dół; opuścić; zejść	
thang máy			winda	
đi theo			iść za	
sáng			poranek	od 3-ej do 10-ej rano
trưa			południe	od 11-ej rano do 2-ej po południu
chiều			popołudnie	od 3-ej do 6-ej po południu
tối			wieczór; evening	od 7-ej do 9-ej wieczorem
bữa trưa			obiad	
bữa tối			kolacja	
sáng nay			dziś rano	
trưa nay			dziś w południe	
chiều nay			dziś wieczorem	
tối nay			dziś w nocy	
hôm nay			dzisiaj	
ngày mai			jutro	
hôm qua			wczoraj	
ăn sáng			jeść śniadanie	
ăn trưa			jeść obiad	
ăn tối			jeść kolację	
đẹp			piękny; ładny	
sạch sẽ			czysty	
nhỏ			mały	
thưa			partykuła grzecznościowa przed zwróceniem się do osoby	
ít			trochę	
cà-phê			kawa	
không có chi			proszę bardzo; nie ma za co	w dialekcie południowym
này			ten	
đó			tamten; tam	
kia			tamten; tam	
không			nie; zero	
một			jeden	
hai			dwa	
ba			trzy; ojciec	w dialekcie południowym
bốn			cztery	
năm			pięć	
sáu			sześć	
bảy			siedem	
tám			osiem	
chín			dziewięć; dojrzały	
mười			dziesięć	
mười một			jedenaście	
mười hai			dwanaście	
mười ba			trzynaście	
mười bốn			czternaście	
mười lăm			piętnaście	
hai mươi			dwadzieścia	
ba mươi			trzydzieści	
bốn mươi			czterdzieści	
một trăm			sto	
tiền			pieniądze	
phòng			pokój; room	
ở			być; być gdzieś; w; mieszkać; być w	
muốn			chcieć	
trong			w	
dưới			pod; poniżej	
và			i; a	
người			osoba	
tiếng			język	
