Phrase	Grammar	Transcription	Translation	Notes
gặp			spotkać
trên			na
chuyến bay			lot
từ			z
Mỹ			amerykański; Ameryka
đến			do
Việt Nam			Wietnam
chào			cześć! dzień dobry!
chị			ty	do rówieśniczki
anh			ty	do rówieśnika
tên			imię
là			być
gì			jaki
tôi			ja
rất			bardzo
vui			szczęśliwy
được			móc
xin			prosić
giới thiệu			przedstawiać
với			do; z
đây			ten; tutaj
có			mieć; istnieć; tak
không			nie
có ... không?			czy?
khỏe			w dobrym zdrowiu
cám ơn			dziękować
còn			a
cũng			także, też
hẹn			umówić się
lại			znowu
ngồi			siedzieć
đứng			stać
ông			pan	do starszej szanowanej osoby
bác			pan	do starszej osoby
cháu			ty	do młodszej osoby obojga płci
xin lỗi			przepraszać
hân hạnh			zaszczycony
biết			wiedzieć
em			młodsze rodzeństwo
dạ			proszę pana, proszę pani	partykuła poprzedzająca wypowiedź
hơi			raczej
mệt			zmęczony
họ			oni
tiếp tục			kontynuować
nói chuyện			rozmawiać
đi			iść, jechać
với			z
ai			kto
một mình			sam, samotnie
bố			ojciec	w dialekcie północnym
ba			ojciec	w dialekcie południowym
mẹ			matka	w dialekcie północnym
má			matka	w dialekcie południowym
của			należący do
buồn			smutny
buồn ngủ			senny
quá			tak bardzo
về			wracać
chỗ			fotel, miejsce siedzące
đây			właśnie, teraz	partykuła finalna
gái			kobieta	o osobie
trai			mężczyzna	o osobie
ngủ			spać
đi ngủ			iść spać
