Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
tôi			ja	
bạn			ty; przyjaciel; kolega	
tên			imię	
là			być	
khỏe			mieć się dobrze; w dobrym zdrowiu; zdrowy; silny	
xin lỗi			przepraszam; przepraszać	
cảm ơn			dziękować	
đây			ten; tutaj; właśnie, teraz	partykuła finalna
gì			co; jaki	
không			nie; zero	
không phải			nie; nie jest	
và			i; a	
với			z; do	
người Mỹ			Amerykanin	
người Anh			Anglik	
quá			bardzo dużo; zbyt; bardzo; tak bardzo	
anh			ty; Anglia; starszy brat; angielski; older brother; he	do rówieśnika
cô			ciotka; młoda kobieta; pani	
đi			iść; jechać; iść, jechać	
uống			pić	
cà phê			kawa	
gặp			spotkać; spotkać się	
chào			cześć! dzień dobry!; cześć; pozdrawiać	
rất			bardzo	
giới thiệu			przedstawiać	
cũng			także, też; też	
hân hạnh			zaszczycony; zaszczycać	
khát			spragniony	
rồi			już	
lâu			długo	
bao lâu			jak długo	
dạo này			ostatnio; w tych dniach	
Dạo này anh có khỏe không?			Jak się masz ostatnio?	
Còn anh?			a ty?	
bình thường			zwykły; normalny	
bạn tôi			mój kolega	
tên tôi			moje imię	
Rất hân hạnh được gặp cô			Bardzo mi miło Panią poznać	
Anh là người Mỹ, phải không?			Jesteś Amerykaninem, prawda?	
Chùng ta đi uống cà phê đi!			Chodźmy napić się kawy!	
tên chị			twoje imię	do kobiety
như			jak i; podobnie jak	
# === 2 ===
này			ten	
dạ			tak; proszę pana, proszę pani; tak proszę Pana	partykuła poprzedzająca wypowiedź; partykuła wyrażająca uprzejmość
hiểu			rozumieć	
hai			dwa	
ở			być; być gdzieś; w; mieszkać; być w	
muốn			chcieć	
nước Anh			Anglia; Brytania	
tiếng			język	
tiếng Việt			język wietnamski	
khó			trudny	
lắm			dużo; bardzo	
bệnh viện			szpital	
đến			przybyć; do; przybywać; przybyć do	
làm			robić	
làm việc			pracować	
học			uczyć się; studiować	
nói			mówić	
nước			kraj; woda; płyn; sok; country; water	
hẹn			umówić się; mieć nadzieję; na spotkanie; umówić	
nói chuyện			rozmawiać	
của			należący do	
để			żeby; położyć; w celu	
du lịch			podróżować; podróżowanie; turystyka	
phải			prawy; musieć; must; have to	
khách sạn			hotel	
sống			żyć	
các anh			wy	do rówieśników; do mężczyzn
bây giờ			teraz	
tháng			miesiąc	
các				oznacza liczbę mnogą
thế nào?			jak?	
làm gì?			co robisz?	
hay			albo	
sinh viên			uczeń	
công ty			przedsiębiorstwo	
công ty du lịch			biuro podróży	
nghề			zawód; profesja	
thư ký			sekretarka	
y tá			pielęgniarka	
ở đâu?			gdzie?	
sông			rzeka	
hồng			czerwony; różowy	
Sông Hồng			Rzeka Czerwona	
gặp lại			spotkać się jeszcze raz	
à				partykuła finalna oznaczająca pytanie
thủ đô			stolica	
bao lâu?			jak długo?	
khoảng			około; w przybliżeniu	
# === 3 ===
thì			być; wtedy jest	
gì			co; jaki	
