Phrase	Transcription	Notes
{{c1::السَّلَامُ عَلِيكُمْ::Pokój z wami}}.	{{c1::Salām ʿalēkum}}.
{{c1::وَعَلِيكُمْ السَّلَام::I z wami pokój}}.	{{c1::Wa ʿalēkum salām}}.
{{c1::مَرْحَبْ::Cześć}}.	{{c1::Marḥab}}.
{{c1::مَرْحَبَا::Cześć}}.	{{c1::Marḥabā}}.
{{c1::مَرْحَبْ بِيكْ::Cześć}}.	{{c1::Marḥab bīk}}.	r.m.
{{c1::مَرْحَبْ بِيكِي::Cześć}}.	{{c1::Marḥab bīkī}}.	r.ż.
{{c1::مَرْحَبْ بِيكُوا::Cześć}}.	{{c1::Marḥab bīkū}}.	r.m.
{{c1::أَهْلًا وَسَهْلًا::Witaj}}.	{{c1::Ahlan wa sahlan}}.
{{c1::أَهْلًا بِيكْ::Witaj}}.	{{c1::Ahlan bīk}}.	r.m.
{{c1::أَهْلًا بِيكِي::Witaj}}.	{{c1::Ahlan bīkī}}.	r.ż.
{{c1::أَهْلًا بِيكُوا::Witajcie}}.	{{c1::Ahlan bīkū}}.	r.m.
{{c1::أَهْلًا وَسَهْلًا بِيكْ::Witaj}}.	{{c1::Ahlan wa sahlan bīk}}.	r.m.
{{c1::أَهْلًا وَسَهْلًا بِيكِي::Witaj}}.	{{c1::Ahlan wa sahlan bīkī}}.	r.ż.
{{c1::أَهْلًا وَسَهْلًا بِيكُوا::Witajcie}}.	{{c1::Ahlan wa sahlan bīkū}}.	r.m.
{{c1::إِزَّيَّكْ::Jak się masz}}؟	{{c1::Ezzayyak}}?	r.m.
{{c1::أنَا::Ja}} {{c2::كُويس::mam się dobrze}}.	{{c1::Anā}} {{c2::kuwayyis}}.	r.m.
{{c1::كُلْ شِيء::Wszystko}} {{c2::تَمَامْ::dobrze}}.	{{c1::Kull šīʾ}} {{c2::tamām}}.
{{c1::أنَا::Ja}} {{c2::بِخِيرْ::mam się dobrze}}.	{{c1::Anā}} {{c2::biḫēr}}.
{{c1::يَعْنِي::Może być}}.	{{c1::Yaʿnī}}.
{{c1::الْحَمدُلله::Dzięki Bogu}}.	{{c1::El-ḥamdu li-l-Lāh}}.
