Text	Transcription	IPA	Description	Notes
一	yī		jeden	
二	èr		dwa	一 yī jeden
三	sān		trzy	一 yī jeden; 二 èr dwa
四	sì		cztery	囗 wei2 ogrodzenie; 儿 er2 syn
五	wǔ		pięć	一 yī jeden; 力 li4 siła
六	liù		sześć	亠 tou2 przykrywka; 八 bā osiem
七	qī		siedem	乚 ya4 drugi; 一 yī jeden
八	bā		osiem	
九	jiǔ		dziewięć	丿 pie3 (zginać); ㇈
十	shí		dziesięć	一 yī jeden; 丨 gǔn/shù
百	bǎi		sto	一 yī jeden; 白 bái biały
千	qiān		tysiąc	㇒; 十 shí dziesięć
万	wàn		dziesięć tysięcy	一 yī jeden; 丿 pie3 (zginać); ㇆
亿	yì		sto milionów	亻rén człowiek; ㇠
大	dà		duży	人 rén człowiek; 一 yī jeden
小	xiǎo		mały	亅 jue2 (hak); 八 bā osiem
上	shàng		górny	⺊ (wróżba); 一 yī jeden
下	xià		dolny	一 yī jeden; 卜 bu3 wróżyć
东	dōng		wschodni	七 qī siedem; 小 xiǎo mały
西	xī		zachodni	兀 wu4 odciąć stopy; 囗 wei2 ogrodzenie
南	nán		południowy	十 shí dziesięć; 冂 jiong1 odwrócone pudełko; 丷 bā osiem; 干 gan1 suchy
北	běi		północny	匕 bi3 czerpak
左	zuǒ		lewy	𠂇 (lewa ręka); 工 gong1 pracować
右	yòu		prawy	𠂇 (lewa ręka); 口 kou3 usta
中	zhōng		środkowy	口 kou3 usta; 丨 gǔn/shù
间	jiān		przestrzeń wewnątrz	门 men2 brama, drzwi; 日 rì słońce
前	qián		z przodu	䒑 (丷 bā osiem; 一 yī jeden); 刖 yue4 amputować nogi (月 yue4 miesiąc; 刂 dao1 nóż)
后	hòu		z tyłu	⺁ urwisko; 𠮛 (一 yī jeden; 口 kou3 usta)
来	lái		przychodzić	未 wei4 jeszcze nie; 丷 bā osiem
去	qù		odchodzić	土 tu3 ziemia, pył; 厶 si1 prywatny
