Text	Transcription	IPA	Description	Notes
日	rì		słońce; dzień	
月	yuè		księżyc; miesiąc	
明	míng		jasny	
萌	méng		kiełkować	
皿	mǐn		naczynie	
血	xuè		krew	
盟	méng		przysięga; przymierze	
夕	xī		zmierzch	
气	qì		gaz; powietrze; zapach; złościć się	
云	yún		chmura	
雨	yǔ		deszcz	
电	diàn		błyskawica; elektryczność	
申	shēn		rozciągać; stwierdzić; wyjaśnić	
雷	léi		grom; piorun	
山	shān		góra	
丘	qiū		wzgórze; góra z ziemi	
岗	gǎng		pagórek; wzgórze	
谷	gǔ		dolina	
冈	gāng		grzbiet górski; kopiec	
石	shí		skała; kamień	
厂	chǎng		fabryka; warsztat	
田	tián		pole	
土	tǔ		ziemia	
井	jǐng		studnia	
凹	āo		wklęsły; wgnieciony	
凸	tū		wypukły; wystający	
川	chuān		rzeka; strumień; równina	
水	shuǐ		woda	
冰	bīng		lód	
回	huí		krążyć; zawracać	
木	mù		drzewo; drewno	
果	guǒ		owoc; rezultat	
丫	yā		rozwidlenie; odgałęzienie	
业	yè		zawód; zajęcie	
禾	hé		zboże	
竹	zhú		bambus	
麻	má		konopie; len	
韭	jiǔ		por	
瓜	guā		melon; dynia; tykwa	
飞	fēi		latać	
非	fēi		nie być	
燕	yàn		jaskółka	
鸟	niǎo		ptak	
隹	zhuī		ptak z krótkim ogonem	
牛	niú		bawół; krowa	
羊	yáng		owca; koza	
豕	shǐ		świnia; dzik	
象	xiàng		słoń	
犬	quǎn		pies	
豸	zhì		robak	
虎	hǔ		tygrys	
熊	xióng		niedźwiedź	
马	mǎ		koń	
鹿	lù		jeleń	
鼠	shǔ		mysz; szczur	
兔	tù		królik	
虫	chóng		owad; larwa; robak	
它	tā		to	
巴	bā		tęsknić; przywierać; bar	
也	yě		także; też	
