Text	Transcription	IPA	Description	Notes
八	bā		osiem	
巴	bā		tęsknić	
白	bái		jasny	
包	bāo		przykryć	
勹	bāo		owijać	
北	běi		północ geograficzna	
贝	bèi		muszla	
匕	bǐ		łyżka	
冫	bīng		lód	
卜	bǔ		wróżba	
不	bù		nie	
步	bù		krok	
艹	cǎo		trawa	
昌	chāng		pomyślny	
长	cháng		długi	
厂	chǎng		urwisko	
车	chē		pojazd	
成	chéng		powieść się	
齿	chǐ		ząb	
彳	chì		krok
虫	chóng		owad	
川	chuān		rzeka	
辶	chuò		iść pieszo	
此	cǐ		ten
寸	cùn		calculate
大	dà		duży	
歹	dāi		zły	
旦	dàn		świt	
刀	dāo		nóż	
刂	dāo		nóż	
到	dào		przybyć	
弟	dì		młodszy brat	
丁	dīng		gwóźdź	
东	dōng		wschód	
冬	dōng		zima	
兑	duì		spieniężyć	
多	duō		dużo	
儿	ér		nogi	
耳	ěr		ucho	
尔	ěr		więc	
二	èr		dwa	
反	fǎn		przeciwieństwo	
方	fāng		kwadrat	
匚	fāng		kosz	
非	fēi		nie być	
分	fēn		dzielić	
父	fù		ojciec	
阝	fù		lewe ucho	
⻏	fù		miejsce	
干	gàn		robić	
冈	gāng		grzbiet górski	
高	gāo		wysoki	
戈	gē		włócznia	
哥	gē		starszy brat	
各	gè		każdy	
艮	gèn		uparty	
更	gèng		bardziej	
工	gōng		praca	
弓	gōng		łuk	
廾	gǒng		obie ręce	
共	gòng		wspólny	
古	gǔ		starożytny	
谷	gǔ		dolina	
故	gù		zdarzenie	
夬	guài		decydujący	
官	guān		urzędnik	
广	guǎng		rozległy	
圭	guī		tabliczka jadeitowa	
丨	gǔn		linia	
果	guǒ		owoc	
亥	hài		dwunasta ziemska gałąź	
禾	hé		kłos	
合	hé		zamykać	
曷	hé		dlaczego	
虍	hū		tygrys	
戶	hù		drzwi	
户	hù		drzwi	
火	huǒ		ogień	
灬	huǒ		ogień	
吉	jí		szczęściarz	
几	jǐ		ile	
己	jǐ		sam	
彐	jì		ryj	
甲	jiǎ		pierwszy z listy	
戋	jiān		wąski	
见	jiàn		widzieć	
交	jiāo		wręczyć	
㔾	jié		pieczęć	
今	jīn		współczesny	
斤	jīn		siekiera	
巾	jīn		szal	
钅	jīn		metal	
京	jīng		stolica	
井	jǐng		studnia	
冂	jiōng		futerał	
句	jù		zdanie	
亅	jué		pionowy haczyk	
君	jūn		monarcha	
凵	kǎn		otwarte pudełko	
可	kě		móc	
口	kǒu		usta	
快	kuài		szybki	
耂	lǎo		stary	
里	lǐ		wewnątrz	
力	lì		siła	
立	lì		stać	
良	liáng		dobry	
两	liǎng		para	
另	lìng		inny	
令	lìng		uporządkować	
路	lù		droga	
马	mǎ		koń	
毛	máo		włosy	
矛	máo		włócznia	
冒	mào		emitować	
每	měi		każdy	
门	mén		wejście	
米	mǐ		ryż	
冖	mì		przykrywka	
宀	mián		dach	
免	miǎn		unikać	
皿	mǐn		naczynie	
母	mǔ		matka	
木	mù		drzewo	
目	mù		oko	
乃	nǎi		być	
疒	nè		chory	
你	nǐ		ty	
廿	niàn		dwadzieścia	
鸟	niǎo		ptak	
牛	niú		bawół	
女	nǚ		kobieta	
皮	pí		skóra	
片	piàn		cienki kawałek; listek	
丿	piě		linia ukośna	
平	píng		płaski	
其	qí		jego	
奇	qí		dziwny	
气	qì		gaz	
前	qián		przód	
欠	qiàn		ziewać	
且	qiě		i; a	
亲	qīn		rodzic	
青	qīng		zielony	
取	qǔ		wybierać	
去	qù		iść; jechać	
泉	quán		wiosna	
犭	quǎn		pies	
人	rén		człowiek	
亻	rén		człowiek	
日	rì		słońce	
入	rù		wchodzić	
山	shān		góra	
彡	shān		szczecina	
尚	shàng		nieruchomy	
勺	sháo		łyżka	
少	shǎo		mniej	
舌	shé		język	
射	shè		strzelać	
身	shēn		ciało	
申	shēn		przedłużać	
生	shēng		rodzić; produkować	
尸	shī		trup	
十	shí		dziesięć	
石	shí		skała	
饣	shí		jedzenie	
矢	shǐ		strzała	
