Text	Transcription	IPA	Description	Notes
口	kǒu		usta; port; przejście	
占	zhān		wróżyć; przepiowiadać	
古	gǔ		starożytny	
言	yán		mówić; słowa	
舌	shé		język	
豆	dòu		bób	
告	gào		powiedzieć; powiadomić; ogłosić	
可	kě		można	
日	rì		słońce; dzień; Japonia	
曰	yuē		mówić	
早	zǎo		dawno; wcześnie; rano	
音	yīn		dźwięk	
者	zhě		ten, który	
白	bái		biały; jasny; na próżno	
百	bǎi		sto	
目	mù		oko	
自	zì		sam; osobiście; z	
首	shǒu		głowa; główny; pierwszy	
貝	bèi		muszla; klejnot	
頁	yè		głowa; arkusz; strona	
面	miàn		twarz; strona	
寸	cùn		cal; ręka	
才	cái		talent; dar; dopiero co; tylko gdy	
寺	sì		świątynia	
耳	ěr		ucho	
身	shēn		tułów; ciało; korpus	
射	shè		strzelać	
頭	tóu		głowa; pierwszy	

