Phrase	Grammar	Transcription	Translation	Notes
المَغْرِب		al-maġrib	Zachód	
المَشْرِق		al-mašriq	Wschód	
الجَزيرة		al-jazīra	Półwysep Arabski	
الخَليج		al-ḫalīj	rejon Zatoki Perskiej	
الكُوَيْت		al-Kuwayt	Kuwejt	
البَحْرَيْن		al-Baḥrayn	Bahrajn	
قَطَر		Qaṭar	Katar	
الإمارات		al-ʾImārāt	Emiraty	
السَّعوديّة		as-Saʿūdiyya	Arabia Saudyjska	
عُمان		ʿUmān	Oman	
اليَمَن		al-Yaman	Jemen	
السّودان		as-Sūdān	Sudan	
الصّومال		aṣ-Ṣūmāl	Somalia	
جيبوتي		Jībūtī	Dżibuti	
جُزُر القُمُر		Juzur al-Qumur	Komory	
مُوريتانْيا		Mūrītānyā	Mauretania	
المَغْرِب		al-Maġrib	Maroko	
الجَزائِر		al-Jazāʾir	Algieria	
تونِس		Tūnis	Tunezja	
ليبيا		Lībiyā	Libia	
مِصْر		Miṣr	Egipt	
فِلَسْطين		Filasṭīn	Palestyna	
لُبْنان		Lubnān	Liban	
سورِيا		Sūriyā	Syria	
الأُرْدُنّ		al-ʾUrdunn	Jordania	
العِراق		al-ʿIrāq	Irak	
صِفْر		ṣifr	zero	
واحِد		wāḥid	jeden	
إثْنَيْن		iṯnayn	dwa	
ثَلاثة		ṯalāṯa	trzy	
أرْبَعة		arbaʿa	cztery	
خَمْسة		ḫamsa	pięć	
سِتّة		sitta	sześć	
سَبْعة		sabʿa	siedem	
ثَمانْية		ṯamānya	osiem	
تِسْعة		tisʿa	dziewięć	
عَشَرة		ʿašara	dziesięć	
باب		bāb	drzwi	
أب		ab	ojciec	
بات		bāt	przenocował	
أثاث		aṯāṯ	meble	
إجابات		ijābāt	odpowiedzi	
باحث		bāḥiṯ	badacz	
أخ		aḫ	brat	
تَحْت		taḥt	pod	
جِدّاً		jiddan	bardzo	
حِجاب		ḥijāb	chustka na głowę	
حُبّ		ḥubb	miłość	
أُخْت		uḫt	siostra	
أُحِبّ		uḥibb	kocham	
أَحَبَّت		aḥabbat	kochała	
دَجاج		dajāj	kogut	
خُذ!		ḫuḏ!	weź!	
أَخْبار		aḫbār	wiadomości	
خُبْز		ḫubz	chleb	
دَرْس		dars	lekcja	
شَرِب		šarib	pił	
صَباح		ṣabāḥ	poranek	
أَخْضَر		aḫḍar	zielony	
بَطاطا		baṭāṭā	ziemniaki	
حَظّ		ḥaẓẓ	szczęście	
عَرَب		ʿarab	Arabowie	
غَرْب		ġarb	zachód	
تُفّاح		tuffāḥ	jabłka	
شَرْق		šarq	wschód	
شُكْراً		šukran	dziękuję	
رَجُل		rajul	mężczyzna	
لا		lā	nie	
سَلام		salām	pokój	
نَحْنُ		naḥnu	my	
أَهْلاً		ahlan	witaj	
لُغَة		luġa	język	
قَهْوة		qahwa	kawa	
نُور		nūr	światło	
جَوْلة		jawla	objazd	
سُؤَال		suʾāl	pytanie	
ألْمانْيا		Almānya	Niemcy	
فِي		fī	w	
بَيْت		bayt	dom	
أَسْئِلة		asʾila	pytania	
إِلَى		ilā	do	
القَمَر		al-qamar	księżyc	
الأَخْبار		al-ʾaḫbār	wiadomości	
الغَرْب		al-ġarb	Zachód	
