Phrase	Grammar	Transcription	Translation	Notes
ذَهَبَ			poszedł	
يَذْهَبُ			idzie	
العَامِلُ			robotnik	
العُمَّالُ			robotnicy	
إلَى			do	
المَصْنَعُ			fabryka	
المَصَانِعُ			fabryki	
صَبَاحًا			rano	
عَمِلَ			pracował	
تَعْمَلُ			pracuje	ona
هَذِهِ			ta	
الآنِسَة			młoda kobieta	
الأَوَانِسُ			młode kobiety	
فِي			w	
دَارُ البَلَدِيَّةِ			urząd miasta	
شَاهَدَ			oglądał	
نُشَاهِدُ			oglądamy	
الفِيلْمُ			film	
الأَفْلَامَ			filmy	
التَّلْفَزَة			telewizja	
سَكَنَ			mieszkał	
أَسْكُنُ			mieszkam	
قُرْبَ			blisko	
الدَّائِرَةُ			podprefektura	
الدَّوائِرُ			podprefektury	
صُنْدُوقٌ			kasa	
صَنَادِيقُ			kasy	
الضَّمَانُ			ubezpieczenie	
الإِجْتِمَاعِي			społeczny	
نَزَلَ			wysiadł	
يَنْزِلُ			wysiada	
النَّاسُ			ludzie	
مِنْ			z; od	
القِطَارُ			pociąg	
القُطُرُ			pociągi	
