Phrase	Grammar	Transcription	Translation	Notes
هَذَا	m	hāḏā	ten	
هَذِهِ	f	haḏihi	ta	
بَيْتٌ		bayt	dom	
بُيُوتٌ	pl	buyūt	domy	
كَبِيرٌ		kabīr	duży	
كِبَارٌ	pl	kibār	duzi	
بِنْتٌ		bint	dziewczynka; córka	
بَنَاتٌ	pl	banāt	dziewczynki; córki	
جَمِيلٌ		ǧamīl	ładny; piękny	
تِلْمِيذٌ		tilmīḏ	uczeń	
تَلَامِيذُ	pl	talāmīḏ	uczniowie	
ذَكِيٌّ		ḏakī	zdolny	
أَذْكِيَاءُ	pl	aḏkiyāʾ	zdolni	
هِيَ		hiya	ona	
هُوَ		huwa	on	
شَاطِرٌ		šāṭir	sprytny; zręczny	
شُطَّارٌ	pl	šuṭṭār	sprytni; zręczni	
مَدِينَةٌ		madīna	miasto	
مُدُنٌ	pl	mudun	miasta	
مُهَنْدِسٌ		muhandis	inżynier	
مُمَرِّضَةٌ		mumarriḍa	pielęgniarka	
وَ		wa	i	spójnik
