Phrase	Grammar	Transcription	Translation	Notes
أَنَا		anā	ja	
أَنْتَ	m	anta	ty	
أَنْتِ	f	anti	ty	
نَحْنُ		naḥnu	my	
أَنْتُم	m	antum	wy	
أَنْتُنَّ	f	antunna	wy	
هُمْ		hum	oni	
هُنَّ		hunna	one	
مُوَاطِنٌ		muwāṭin	obywatel	
بُولُونِيٌّ		būlūnī	polski	
رَجُلٌ		rajul	człowiek; mężczyzna	
رِجَالٌ	pl	rijāl	mężczyźni	
كَذَلِكَ		kaḏalik	też; także	
صُحُفِي		ṣuḥufī	dziennikarz	
غُرْفَةٌ		ġurfa	pokój; izba	
غُرَفٌ	pl	ġuraf	pokoje; izba	
كُرْسِيٌّ		kursī	krzesło	
كَرَاسِيُّ	pl	karāsī	krzesła	
سَرِيرٌ		sarīr	łóżko	
أَسِرَّةٌ	pl	asirra	łóżka	
قَدِيمٌ		qadīm	stary	
فِي		fī	w	
نَافِذَةٌ		nāfiḏa	okno	
نَوَافِذُ	pl	nawāfiḏ	okna	
ثَانَوِيٌّ		ṯānawī	wtórny; drugiego stopnia	
سَلِيمٌ		salīm	cały; nieuszkodzony	
طَاوِلَةٌ		ṭāwila	stół	
مَدْرَسَةٌ		madrasa	szkoła	
مَدَارِسُ	pl	madāris	szkoły	
عَلَى		ʿalā	na	
مَنْ		man	kto	
مَرِيضٌ		marīḍ	chory	
مَرْضَى	pl	marḍā	chorzy	
هَلْ		hal	czy	
أَيْنَ		ayna	gdzie	
أَكْلٌ		akl	jedzenie	
أَوْ		aw	albo; lub	
أَلْآنَ		al-āna	teraz	
فَلَّاحٌ		fallāḥ	chłop; fellah	
مَصْنَعٌ		maṣnaʿ	fabryka	
مَصَانِعٌ	pl	maṣāniʿ	fabryki	
عَامِلٌ		ʿāmil	robotnik	
عُمَّالٌ	pl	ʿummāl	robotnicy	
