Phrase	Grammar	Transcription	Translation	Notes
دَرس			lekcja	
أَوَّل			pierwszy	
مَلِك			król	
عَبْد الله			Abdallah	
مِن			z	
الأُرْدُن			Jordania	
وَ			i; a	
اَلسَّعودِيَّة			Arabia Saudyjska	
أَمير			książę	
جابِر الأَحْمَد			Dżaber Al-Ahmad	
اَلْكُوَيْت			Kuwejt	
اَلسَّيِّد			pan	
إميل لَحود			Emil Lahud	
لُبْنان			Liban	
إِياد عَلّاوي			Ijad Allawi	
اَلْعِراق			Irak	
بَشار الأَسَد			Baszar al-Asad	
سوريا			Syria	
حُسْني مُبارَك			Hosni Mubarak	
مِصْر			Egipt	
نَعَم			tak	
لا			nie	
مين			kto	
وَيْن			gdzie	
