Phrase	Grammar	Transcription	Translation	Notes
ad			imię	
azad			wolny	
qara			czarny	
daraq			grzebień	
çiraq			lampa	
ada			wyspa	
arpa			jęczmień	
qış			zima	
dırnaq				
qırmızı			czerwony	
arı			osa	
sarı			żółty	
otaq			pokój	
dovşan			zając	
solo			solo	
piano			pianino	
ulduz			gwiazda	
uzun			długi	
quzu			jagnię	
buruq				
əl			ręka	
bəzək			ozdoba	
tələbə			student	
il			rok	
bilik			wiedza	
ev			dom	
yeni			nowy	
ördək			kaczka	
ölkə			kraj	
göl			jezioro	
adam			człowiek	
qara			czarny	
alma			jabłko	
qan			krew	
bank			bank	
Avropa			Europa	
sarı			żółty	
qarı			staruszka	
çıxış			wyjście	
satış			sprzedaż	
arıq			chudy	
aşıq			śpiewak ludowy	
qarpız			arbuz	
yaxşı			dobry	
uşaq			dziecko	
quru			suchy	
duru			czysty	
arzu			marzenie	
soyuq			zimny	
buruq			wzniesienie	
nənə			babcia	
nəvə			wnuk	
yer				miejsce; Ziemia	
körpə			niemowlę	
maarif			wykształcenie	
şair			poeta	
aid			przynależny	
ailə			rodzina	
aeroloji				
aeroxizək				
səadət			szczęście	
fəaliyyət			działalność	
zəif			słaby	
rəis			naczelnik	
dialektika			dialektyka	
diaqram			diagram	
diametr			przekątna	
faciə			tragedia	
şəriət			szariat	
müdafiə			obrona	
müalicə			leczenie	
müalicəxana			lecznica	
müəllim			nauczyciel	
müəllimlik			nauczanie	
müəyyən			określony	
