Phrase	Grammar	Transcription	Translation	Notes
актьóр			aktor 
режисьóр			reżyser
фризьóр			fryzjer
миньóр			górnik
бульóн			rosół
щáб			sztab
мащáб			skala
къща			dom
щурéц			świerszcz
живóт			życie
жéга			upał
шáпка			czapka; kapelusz
шáл			szal
чáнта			torba
чéтка			szczotka; pędzelek
чýк			młotek
цифра			cyfra
цирк			cyrk
цéл			cel
цял			cały
тютюн			tytoń 
дюля			pigwa 
дядо			dziadek 
тяло			ciało
вяра			wiara 
бял			biały 
някой			ktoś 
дéн			dzień 
днéс			dzisiaj
недéля			niedziela 
детé			dziecko
тéма			temat 
тихо			cicho
дивеч			dziczyzna 
нéжен			delikatny 
лéпкав			lepki
лилия			lilia
пиле			kurczak
кисел			kwaśny 
китáра			gitara
химия			chemia
хитър			przebiegły
шýнка			szynka 
настинка			przeziębienie
сянка			cień
сéлянка			wieśniaczka 
ангина			angina
áнгел			anioł
английски			angielski
бронхит			zapalenie oskrzeli
óнзи			tamten
брáнш			gałąź
кон			koń
дéн			dzień
морáл			moralność
кóлко			ile 
спáлня			sypialnia
будилник			budzik
приятелка			przyjaciółka
резултáт			wynik 
писмó			list 
борбá			walka
палтó			palto
правителство 			rząd
бóлница			szpital
бряг			brzeg 
грáд			miasto
подкáчам			żartować sobie
в Сóфия			w Sofii; do Sofii
в óгъня			w ogniu; w ogień 
в морéто			w morze; w morzu
във Вáрна			w Warnie
във факултéта			na fakultecie
пътýвам със самолéт			lecieć samolotem
месó със зéле			mięso z kapustą
вáна			kąpiel 
колéга			kolega
сýх			suchy 
внýк			wnuk 
тýк			tutaj 
сýпа			zupa
нýла			zero 
хýбав			ładny
сапýн			mydło
имам			mieć 
искам			chcieć
изход			wyjście
иглá			igła
éто			oto 
éра			era 
елхá			choinka 
елмáз			diament
заéт			zajęty
тóй			on
лóв			polowanie
кóтка			kot
тóпка			piłka
кóфа			wiadro
стóл			krzesło
бáвно			powoli
мáлко			mało
горá			las
товá			to
хýбаво			ładnie
рáбота			praca 
свободá			wolność
áз			ja
дá			tak
кáк			jak
крáк			noga
тáм			tam
пáк			znowu
мáйка			mama
бáба			babcia
мáса			stół
пáдам			upaść
гáра			dworzec
зъб			ząb 
сън			sen
път			droga
дъб			dąb
дъскá			tablica
дървó			drzewo
мъдър			mądry
ъгъл			kąt
гълъб			gołąb
пъдпъдък			przepiórka
áз			ja
ние			my
ти			ty
вие			wy
тóй			on 
тя			ona
тó			ono
тé			oni
(áз) съм			(ja) jestem
(ние) сме			(my) jesteśmy
(ти) си			(ty) jesteś
(вие) сте			(wy) jesteście
(тóй, тя, тó) е			(on, ona, ono) jest
(тé) са			(oni) są
дните на сéдмицата			dni tygodnia
понедéлник			poniedziałek
втóрник			wtorek
сряда			środa
четвъртък			czwartek
пéтък			piątek
събота			sobota
недéля			niedziela
в понедéлник			w poniedziałek
във втóрник			we wtorek
в сряда			w środę
в четвъртък			w czwartek
в пéтък			w piątek
в събота			w sobotę
в недéля			w niedzielę
мéсеците на годината			miesiące roku
януáри			styczeń
февруáри			luty
март			marzec
април			kwiecień
май			maj
юни			czerwiec
юли			lipiec
áвгуст			sierpień
септéмври			wrzesień
октóмври			październik
ноéмври			listopad
декéмври			grudzień
през януáри			w styczniu
през февруáри			w lutym
през декéмври			w grudniu
годишни временá			pory roku
прóлет			wiosna
лято			lato
éсен			jesień
зима			zima
през пролеттá			wiosną
през лятото			latem
през есентá			jesienią
през зимата			zimą
днéс			dzisiaj
ýтре			jutro
(в)дрýгиден			pojutrze
вчéра			wczoraj
зáвчера			przedwczoraj
óня ден			przedwczoraj
сýтрин			rano (czynność powtarzana)
сутринтá			tego ranka
вéчер			wieczorami
вечертá			tego wieczoru
довéчера			dziś wieczorem
снóщи			wczoraj wieczorem
сегá			teraz
вéче			już
óще			jeszcze
мóлив			ołówek 
писáлка			pióro do pisania 
химикáлка			długopis 
гýма			gumka 
лепило			klej 
книга			książka
компютър			komputer
принтер			drukarka
джиесéм			telefon komórkowy
стенá			ściana
тавáн			sufit 
пóд			podłoga
прозóрец			okno 
вратá			drzwi
закачáлка			wieszak
Добрó ýтро!			Dzień dobry!	rano
Дóбър дéн!			Dzień dobry!
Дóбър вéчер!			Dobry wieczór!
Здравéй!			Witaj!
Здравéйте!			Witajcie!
Здрáсти!			Cześć!
Довиждане!			Do widzenia!
Всичко хýбаво!			Wszystkiego dobrego!
Всичко най-добрó!			Wszystkiego najlepszego!
Чáо!			Ciao!
господин			pan
госпожá			pani
госпóжица			panna
Добрó ýтро, господине!			Dzień dobry panu!	rano
Дóбър дéн, госпóжо!			Dzień dobry pani!
Добрó ýтро, госпóжице!			Dzień dobry pani!
Добрó ýтро, господин Петрóв!			Dzień dobry, panie Petrow!	rano
Дóбър вéчер, госпóжице Петрóва!			Dobry wieczór, pani Petrowa!
Дóбър вéчер, госпóжо Желязкова!			Dobry wieczór, pani Żelazkowa!
Кáк се кáзваш?			Jak się nazywasz?
Кáк се кáзвате?			Jak się pan(i) nazywa?
Кáзвам се Боян.			Nazywam się Bojan.
Áз съм Боян.			Jestem Bojan.
Приятно ми е.			Miło mi.
Мнóго ми е приятно.			Bardzo mi miło.
Дрáго ми е.			Miło mi.
Да се запознáем.			Poznajmy się.
Да се предстáвя.			Pozwól, że się przedstawię.
Искам да Ви(ви) се предстáвя.			Proszę pozwolić, że się przedstawię.
Мóже ли да Ви се предстáвя?			Czy mogę się przedstawić?
Запознáй се.			Poznajcie się.
Запознáйте се.			Poznajcie się.
Да ви предстáвя господин Бóнев.			Przedstawiam wam pana Bonewa.
Разрешéте да Ви предстáвя господин Бóнев.			Proszę pozwolić, że Wam przedstawię pana Bonewa.
Да.			Tak.
Не.			Nie.
благодаря			dziękuję
мерси			dziękuję
Няма защó.			Nie ma za co.
мóля			proszę
Заповядайте.			Proszę bardzo.
