Phrase	Grammar	Transcription	Translation	Notes
автобус			autobus	
в			w	
вестник			gazeta	
врата			drzwi	
има			jest; istnieje	
книга			książka	
котка			kot	
куче			pies	
легло			łóżko	
метро			metro	
море			morze	
няма			nie ma; nie istnieje	
пиано			pianino	
прозорец			okno	
езеро			jezioro	
учебник			podręcznik	
съсед			sąsiad	
бюро			biurko	
дете			dziecko	
планина			góra	
папка			teczka na dokumenty	
тетрадка			zeszyt	
списание			czasopismo	
ябълка			jabłko	
телефон			telefon	
самолет			samolot	
тук			tutaj	
чанта			torba	
компютър			komputer	
химикалка			długopis	
