Phrase	Grammar	Transcription	Translation	Notes
myji			myję	
piji			piję	
pas			paszport	
lože			pościel	
domu			w domu	
rada			rada	
byt			mieszkanie	
myjí			myją	
pijí			piją	
pás			pas	
lóže			loża	w teatrze
domů			domów; do domu	
ráda			ona się cieszy	
být			być	
matka			matka	
mapa			mapa	
barva			kolor	
sad			sad	
národ			naród	
závod			fabryka	
sám			sam	
váza			wazon	
nos			nos	
strom			drzewo	
oko			oko	
okno			okno	
voda			woda	
tón			ton	
móda			moda	
sólo			solo	
dub			dąb	
ucho			ucho	
ruka			ręka	
student			student	
ubrus			obrus	
únor			luty	
útok			atak	
úroda			urodzaj	
ústa			usta	
ústav			instytut	
dům			dom	
stůl			stoł	
vůz			wóz	
domů			do domu	
sůl			sól	
pes			pies	
sen			sen	
ten			ten	
teta			ciocia	
metro			metro	
mé			moje	
tvé			twoje	
nést			nieść	
vézt			wieźć	
krásné			piękne	
děti			dzieci	
děd			dziadek	
těsto			ciasto	
tě			ciebie	
někdo			ktoś	
něco			coś	
oběd			obiad	
běhat			biegać	
pět			pięć	
zpěv			śpiew	
květ			kwiat	
město			miasto	
měsíc			miesiąc	
mě			mnie	
země			kraj	
pivo			piwo	
pít			pić	
pyl			pył	
pýcha			pycha	
vina			wina	
vír			wir	
vy			wy	
výt			wyć	
bitva			bitwa	
bída			bieda	
byt			mieszkanie	
být			być	
mi			mnie	
mít			mieć	
my			my	
mýt			myć	
si			siebie	
síla			siła	
syn			syn	
sýr			ser	
žít			żyć	
šifra			szyfr	
čich			węch	
říci			powiedzieć	
hýbat			poruszać	
chyba			błąd	
kytara			gitara	
ryba			ryba	
díl			tom	
tisk			pieczęć	
nit			nić	
jitro			poranek	
dýka			sztylet	
ty			ty	
nýt			nit	
bít			bić	
liška			lis	
mít			mieć	
pít			pić	
síla			siła	
zima			zima	
být			być	
lysý			łysy	
mýt			myć	
pytel			worek	
sytý			syty	
brzy			szybko	
