Phrase	Grammar	Transcription	Translation	Notes
现在		xiànzài	teraz	
几		jǐ	ile?	
点		diǎn	godzina	
大学		dàxué	uniwersytet	
早上		zǎoshang	rano; poranek	
上课		shàng kè	iść na lekcje; mieć lekcje	
部分		bùfēn	część	
大部分		dà bùfēn	większość	
八		bā	osiem	
五十		wǔshí	pięćdziesiąt	
分		fēn	minuta	
我们		wǒmen	my	
学校		xuéxiào	szkoła	
九		jiǔ	dziewięć	
下课		xià kè	kończyć lekcje	
十		shí	dziesięć	
半		bàn	połowa	
太...了		tài ... le	zbyt; za	
早		zǎo	wcześnie	
电影		diànyǐng	film	
开始		kāishǐ	zaczynać; zaczynać się	
六		liù	sześć	
差		chà	brakować; nie wystarczać	
一		yī	jeden	
刻		kè	ćwierć	
一会儿		yíhuìr	za chwilę	
见		jiàn	zobaczyć; spotkać	
