Phrase	Grammar	Transcription	Translation	Notes
安全	ānquán	safe	HSK 4
棒	bàng	great	HSK 4
笨	bèn	stupid	HSK 4
成功	chénggōng	successful	HSK 4
诚实	chéngshí	honest	HSK 4
粗心	cūxīn	careless, thoughtless	HSK 4
得意	déyì	proud of oneself; pleased with oneself; complacent	HSK 4
低	dī	low	HSK 4
烦恼	fánnǎo	annoyances, pains, troubling matters	HSK 4
丰富	fēngfù	abundant	HSK 4
富	fù	rich	HSK 4
复杂	fùzá	complicated, complex	HSK 4
共同	gòngtóng	joint, in common	HSK 4
合格	hégé	qualified, up to standard	HSK 4
合适	héshì	suitable	HSK 4
厚	hòu	thick, deep	HSK 4
火	huǒ	popular, hot	HSK 4
活泼	huópo	lively	HSK 4
假	jiǎ	fake	HSK 4
骄傲	jiāoào	proud	HSK 4
激动	jīdòng	excited	HSK 4
积极	jījí	active; positive	HSK 4
精彩	jīngcǎi	spectacular, wonderful	HSK 4
紧张	jǐnzhāng	nervous, tense; strained	HSK 4
开心	kāixīn	happy	HSK 4
可怜	kělián	pitiful, poor	HSK 4
可惜	kěxī	such a shame, unfortunately	HSK 4
空	kōng	empty	HSK 4
苦	kǔ	bitter, hardship	HSK 4
困	kùn	sleepy	HSK 4
辣	là	spicy	HSK 4
懒	lǎn	lazy	HSK 4
浪漫	làngmàn	romantic	HSK 4
冷静	lěngjìng	calm; cool-headed	HSK 4
凉快	liángkuai	cool (temperature)	HSK 4
厉害	lìhai	impressive, awesome; tremendous	HSK 4
礼貌	lǐmào	polite	HSK 4
流利	liúlì	fluent	HSK 4
乱	luàn	chaotic, messy, disorganized	HSK 4
麻烦	máfan	troublesome	HSK 4
马虎	mǎhu	careless	HSK 4
美丽	měilì	beautiful	HSK 4
免费	miǎnfèi	free	HSK 4
难受	nánshòu	to feel unwell;to suffer pain;to be difficult to bear	HSK 4
暖	nuǎn	warm	HSK 4
暖和	nuǎnhuo	warm	HSK 4
破	pò	worn out, lousy; to break	HSK 4
普遍	pǔbiàn	universal; general; widespread; common	HSK 4
轻	qīng	light, easy, gentle, soft	HSK 4
轻松	qīngsōng	gentle, relaxed	HSK 4
穷	qióng	poor	HSK 4
热闹	rènao	bustling with noise and excitement;lively	HSK 4
伤心	shāngxīn	sad	HSK 4
深	shēn	deep	HSK 4
失望	shīwàng	disappointed	HSK 4
帅	shuài	handsome	HSK 4
顺利	shùnlì	smooth; smoothly	HSK 4
死	sǐ	rigid, inflexible	HSK 4
酸	suān	sour; sore; acid	HSK 4
随便	suíbiàn	as one pleases	HSK 4
所有	suǒyǒu	all	HSK 4
危险	wēixiǎn	dangerous	HSK 4
无聊	wúliáo	boring; bored	HSK 4
咸	xián	salty	HSK 4
香	xiāng	fragrant, good-smelling	HSK 4
相同	xiāngtóng	same, identical	HSK 4
详细	xiángxì	detailed	HSK 4
兴奋	xīngfèn	excited	HSK 4
幸福	xìngfú	happy (in the fairytale sense)	HSK 4
辛苦	xīnkǔ	to be a lot of hard work, toilsome	HSK 4
严格	yángé	strict	HSK 4
阳光	yángguāng	sunshine	HSK 4
严重	yánzhòng	serious	HSK 4
勇敢	yǒnggǎn	brave	HSK 4
友好	yǒuhǎo	friendly	HSK 4
幽默	yōumò	humorous	HSK 4
有趣	yǒuqù	interesting, amusing	HSK 4
优秀	yōuxiù	outstanding, excellent	HSK 4
原来	yuánlái	formerly, original	HSK 4
愉快	yúkuài	pleasant, happy	HSK 4
脏	zāng	dirty	HSK 4
正常	zhèngcháng	normal	HSK 4
正确	zhèngquè	correct, right	HSK 4
正式	zhèngshì	formal	HSK 4
真正	zhēnzhèng	real, true	HSK 4
直接	zhíjiē	directly	HSK 4
重	zhòng	heavy; strong (accent, scent, flavor, etc.)	HSK 4
专业	zhuānyè	professional	HSK 4
著名	zhùmíng	famous	HSK 4
准确	zhǔnquè	accurate, precise	HSK 4
准时	zhǔnshí	on time; punctual	HSK 4
仔细	zǐxì	careful	HSK 4
自信	zìxìn	to be self-confident	HSK 4
