Phrase	Grammar	Transcription	Translation	Notes
比较	bǐjiào	to compare; comparatively	HSK 3
必须	bìxū	must	HSK 3
才	cái	only; just now; not until...	HSK 3
当然	dāngrán	of course, naturally	HSK 3
多么	duōme	how (wonderful etc)/what (a great idea etc)	HSK 3
更	gèng	even more	HSK 3
极	jí	extremely	HSK 3
几乎	jīhū	almost, nearly	HSK 3
经常	jīngcháng	often	HSK 3
马上	mǎshàng	right away; on horseback	HSK 3
其实	qíshí	actually, in fact	HSK 3
特别	tèbié	special	HSK 3
先	xiān	first, in advance	HSK 3
一定	yīdìng	definitely	HSK 3
一共	yīgòng	altogether	HSK 3
一直	yīzhí	continuously; straight (forward)	HSK 3
又	yòu	(once) again	HSK 3
越	yuè	to surpass; the more...	HSK 3
真	zhēn	really, truly; real	HSK 3
只	zhǐ	only	HSK 3
终于	zhōngyú	at last; in the end; finally; eventually	HSK 3
总是	zǒngshì	always	HSK 3
