Phrase	Grammar	Transcription	Translation	Notes
但是	conj	dànshì	but	HSK 4
并且	conj	bìngqiě	and besides, moreover	HSK 4
不管	conj	bùguǎn	no matter (what, how)	HSK 4
不过	conj	bùguò	but, yet	HSK 4
不仅	conj	bùjǐn	not only (this one);not just (...) but also	HSK 4
而	conj	ér	but (not), yet (not) [indicates contrast]	HSK 4
否则	conj	fǒuzé	otherwise, or else	HSK 4
尽管	conj	jǐnguǎn	although	HSK 4
既然	conj	jìrán	since..., this being the case...	HSK 4
即使	conj	jíshǐ	even if; even though	HSK 4
可是	conj	kěshì	but	HSK 4
另外	conj	lìngwài	in addition	HSK 4
然而	conj	ránér	however, but	HSK 4
甚至	conj	shènzhì	even	HSK 4
同时	conj	tóngshí	at the same time	HSK 4
无论	conj	wúlùn	regardless of	HSK 4
相反	conj	xiāngfǎn	opposite	HSK 4
要是	conj	yàoshi	if	HSK 4
因此	conj	yīncǐ	therefore, thus, as a result	HSK 4
由于	conj	yóuyú	since; because	HSK 4
于是	conj	yúshì	thereupon	HSK 4
只要	conj	zhǐyào	if only;so long as	HSK 4
