Phrase	Grammar	Transcription	Translation	Notes
册	cè	[measure word for booklets]	HSK 5
滴	dī	a drop	HSK 5
堆	duī	[measure word for stacks of things]	HSK 5
顿	dùn	[measure word for meals, beatings, scoldings]	HSK 5
吨	dūn	ton	HSK 5
朵	duǒ	[measure word for flowers]	HSK 5
幅	fú	[measure word for cloth or pictures]	HSK 5
届	jiè	[measure word for elections, sporting events, graduating classes]	HSK 5
克	kè	gram (g)	HSK 5
颗	kē	[measure word for for small balls like teeth, hearts, pearls, corn kernels]	HSK 5
厘米	límǐ	centimeter (cm)	HSK 5
盆	pén	[measure word for something in a pot]	HSK 5
批	pī	batch	HSK 5
匹	pī	[measure word for houses]	HSK 5
片	piān	[measure word for sheets or slices]	HSK 5
群	qún	group	HSK 5
升	shēng	liter (L)	HSK 5
首	shǒu	[measure word for songs and poems]	HSK 5
套	tào	[measure word for outfits, housing, set of things]	HSK 5
团	tuán	[measure word for a lump or a wad]	HSK 5
项	xiàng	[measure word for formal programs]	HSK 5
阵	zhèn	[measure word for states of short duration]	HSK 5
支	zhī	[measure word for pens]	HSK 5
