Phrase	Grammar	Transcription	Translation	Notes
爱好	n	àihào	hobby	HSK 3
阿姨	n	āyí	maternal aunt; housekeeper	HSK 3
班	n	bān	class, team; work	HSK 3
办法	n	bànfǎ	way of doing, method	HSK 3
办公室	n	bàngōngshì	office	HSK 3
包	n	bāo	bag	HSK 3
报纸	n	bàozhǐ	newspaper	HSK 3
北	n	běi	north	HSK 3
北方	n	běifāng	the north	HSK 3
杯子	n	bēizi	cup, glass	HSK 3
变化	n	biànhuà	change	HSK 3
表演	n	biǎoyǎn	play, show, performance	HSK 3
别人	n	biérén	other people	HSK 3
笔记本	n	bǐjìběn	notebook	HSK 3
宾馆	n	bīnguǎn	hotel	HSK 3
冰箱	n	bīngxiāng	refrigerator (lit. "ice box")	HSK 3
比赛	n	bǐsài	competition (sports, etc.)	HSK 3
鼻子	n	bízi	nose	HSK 3
菜	n	cài	vegetable; dish (of food); cuisine (of a region)	HSK 3
菜单	n	càidān	menu	HSK 3
船	n	chuán	boat, ship	HSK 3
草	n	cǎo	grass	HSK 3
超市	n	chāoshì	supermarket	HSK 3
成绩	n	chéngjì	achievement; grades	HSK 3
城市	n	chéngshì	city	HSK 3
衬衫	n	chènshān	dress shirt	HSK 3
厨房	n	chúfáng	kitchen	HSK 3
春	n	chūn	spring	HSK 3
出租车	n	chūzūchē	taxi	HSK 3
词典	n	cídiǎn	dictionary (of words)	HSK 3
词语	n	cíyǔ	word, expression	HSK 3
蛋糕	n	dàngāo	cake	HSK 3
打算	n	dǎsuàn	plan	HSK 3
灯	n	dēng	light, lamp	HSK 3
电脑	n	diànnǎo	computer	HSK 3
电视	n	diànshì	television, TV	HSK 3
电梯	n	diàntī	elevator; escalator	HSK 3
电影	n	diànyǐng	movie, film	HSK 3
电子邮件	n	diànzǐ yóujiàn	email (lit. "electronic mail")	HSK 3
地方	n	dìfang	place	HSK 3
地铁	n	dìtiě	subway, metro	HSK 3
地图	n	dìtú	map	HSK 3
东	n	dōng	east	HSK 3
冬	n	dōng	winter	HSK 3
动物	n	dòngwù	animal	HSK 3
东西	n	dōngxi	thing	HSK 3
耳朵	n	ěrduo	ear	HSK 3
飞机	n	fēijī	airplane	HSK 3
附近	n	fùjìn	nearby, (in the) vicinity	HSK 3
刚才	n	gāngcái	(just) a moment ago	HSK 3
个子	n	gèzi	height, stature	HSK 3
公园	n	gōngyuán	public park	HSK 3
狗	n	gǒu	dog	HSK 3
关系	n	guānxi	relation, relationship; to concern	HSK 3
国家	n	guójiā	country, nation	HSK 3
过去	n	guòqù	(in the) past; to go over (to a place)	HSK 3
果汁	n	guǒzhī	fruit juice	HSK 3
故事	n	gùshi	story	HSK 3
河	n	hé	river	HSK 3
黑板	n	hēibǎn	blackboard	HSK 3
后来	n	hòulái	afterwards; later	HSK 3
花	n	huā	flower	HSK 3
画	n	huà	picture, painting	HSK 3
