Phrase	Grammar	Transcription	Translation	Notes
爱	v	ài	kochać	HSK 1
吃	v	chī	jeść	HSK 1
读	v	dú	czytać	HSK 1
对不起	v	duìbùqǐ	przepraszać	HSK 1
工作	v	gōngzuò	pracować	HSK 1
喝	v	hē	pić	HSK 1
回	v	huí	wracać	HSK 1
叫	v	jiào	wołać; nazywać się	HSK 1
开	v	kāi	otwierać	HSK 1
看	v	kàn	patrzeć	HSK 1
看见	v	kànjiàn	widzieć	HSK 1
来	v	lái	przychodzić	HSK 1
没有	v	méiyǒu	nie mieć	HSK 1
买	v	mǎi	kupować	HSK 1
请	v	qǐng	prosić	HSK 1
去	v	qù	odchodzić	HSK 1
认识	v	rènshi	znać	HSK 1
是	v	shì	być	HSK 1
睡觉	v	shuìjiào	spać	HSK 1
说	v	shuō	mówić	HSK 1
听	v	tīng	słuchać	HSK 1
下雨	v	xiàyǔ	pada deszcz	HSK 1
写	v	xiě	pisać	HSK 1
谢谢	v	xièxie	dziękować	HSK 1
喜欢	v	xǐhuān	lubić	HSK 1
学习	v	xuéxí	uczyć się	HSK 1
有	v	yǒu	mieć	HSK 1
再见	v	zàijiàn	do widzenia	HSK 1
住	v	zhù	mieszkać	HSK 1
做	v	zuò	robić	HSK 1
坐	v	zuò	siedzieć	HSK 1
