Phrase	Grammar	Transcription	Translation	Notes
帮		bāng	pomagac	
出出		chūchū	dać; wpaść na	
主意		zhǔyi	rada; pomysł	
玩		wán	zwiedzać	
一边...一边...		yībiān ... yībiān ...	robić jednocześnie	
建议		jiànyì	sugestia	
棒极了		bàng jíle	doskonale; świetnie	
准备		zhǔnbèi	zamierzać;	
等		děng	itd; itp	
云南		Yúnnán	Yunnan	prowincja w Chinach
自然		zìrán	naturalny	
西南部		xīnánbù	część południowo-zachodnia	
有道理		yǒu dàolǐ	mieć sens; brzmi sensownie	
沿途		yántú	w trakcie podróży	
美丽		měilì	piękny	
景色		jǐngsè	sceneria	
火车		huǒchē	pociąg	
飞机		fēijī	samolot	
船		chuán	statek; łódź	
车		chē	samochód	
长途车		chángtú chē	autokar	
公共汽车		gōnggòng qìchē	autobus publiczny	
出租汽车		chūzū qìchē	taksówka	
酒吧		jiǔbā	bar	
聊天		liáotiān	rozmawiać; gwarzyć	
修一修		xiū yī xiū	naprawić	
乡村		xiāngcūn	wieś	
站		zhàn	przystanek	
恰恰相反		qiàqià xiāngfǎn	wręcz przeciwnie	
参观		cānguān	odwiedzić	
城墙		chéngqiáng	mury miejskie	
上去		shàngqu	iść do góry	
不好意思		bù hǎoyìsi	przepraszam; być zakłopotanym; być skrępowanym	
不太清楚		bù tài qīngchu	nie jestem pewny	
外地人		wàidìrén	obcy; nie miejscowy	
这样吧		zhèyàng ba	posłuchaj co powiem	
打听		dǎting	dowiedzieć się	
然后		ránhòu	następnie	
离...不远		lí ... bù yuǎn	niedaleko od ...	
入口处		rùkǒuchù	wejście	
顺着		shùnzhe	wzdłuż	
条		tiáo	klasyfikator długich wąskich przedmiotów	
街		jiē	ulica	
走到底		zǒu dàodǐ	iść do samego końca	
多亏了		duō kuī le	dzięki ...; z powodu ...	
而且		érqiě	poza tym	
了解		liǎojiě	zrozumienie	
佩服		pèifu	podziwiać; podziw	
夸奖		kuājiǎng	pochwała; komplement; pochlebstwo	
兵马俑		bīngmǎyǒng	Terakotowa Armia	
画展		huàzhǎn	wystawa sztuki	
帮助		bāngzhù	pomoc	
按时		ànshí	na czas	
交		jiāo	wręczyć	
作业		zuòyè	praca domowa; zadanie do domu	
街道		jiēdào	ulica	
宽		kuān	szeroki	
直		zhí	prosto; bezpośrednio	
暑假		shǔjià	wakacje	
短		duǎn	krótki	
绘画		huìhuà	obraz	
重庆		Chóngqìng	Chongqing	miasto w Chinach
篇		piān	klasyfikator	
日记		rìjì	pamiętnik; dziennik	
古老的		gǔlǎo de	starożytny	
原名		yuánmíng	oryginalna nazwa; poprzednia nazwa	
长安		Cháng'ān	Chang'an	nazwa miejscowości w Chinach
著名		zhùmíng	sławny	
规模		guīmó	skala	
不敢相信		bù gǎn xiāngxìn	niewiarygodny	
展出		zhǎnchū	być wystawionym	
上千个		shàng qiān ge	ponad tysiąc	
面部表情		miànbù biǎoqíng	wyraz twarzy	
另外		lìngwài	poza tym	
整整齐齐		zhěngzhěng qíqí	uporządkowany	
中心		zhōngxīn	centrum	
钟楼		zhōnglóu	dzwonnica	
保留		bǎoliú	zachować	
游人		yóurén	turysta	
