Phrase	Grammar	Transcription	Translation	Notes
队员|duìyuán||team member|||NPCR-21
队|duì||team|||NPCR-21
不同|bùtóng||different|||NPCR-21
国家|guójiā||country|||NPCR-21
赢|yíng||to win|||NPCR-21
场|chǎng||match; set; (a measure word for sports, films, performances)|||NPCR-21
足球|zúqiú||soccer|||NPCR-21
足|zú||foot|||NPCR-21
球|qiú||ball|||NPCR-21
比赛|bǐsài||match/to compete; to have a match|||NPCR-21
赛|sài||race; match/to compete; to race|||NPCR-21
同学|tóngxué||classmate; schoolmate|||NPCR-21
记者|jìzhě||reporter|||NPCR-21
大学生|dàxuéshēng||university student; college student|||NPCR-21
学校|xuéxiào||school|||NPCR-21
水平|shuǐpíng||level|||NPCR-21
教练|jiàoliàn||coach|||NPCR-21
去年|qùnián||last year|||NPCR-21
以后|yǐhòu||after; afterwards|||NPCR-21
提高|tígāo||to improve; to increase|||NPCR-21
提|tí||to lift|||NPCR-21
踢|tī||to kick|||NPCR-21
左边|zuǒbian||the left side|||NPCR-21
左|zuǒ||left|||NPCR-21
右边|yòubian||the right side|||NPCR-21
右|yòu||right|||NPCR-21
东边|dōngbian||east side|||NPCR-21
东|dōng||east|||NPCR-21
离|lí||away; off; from|||NPCR-21
远|yuǎn||far|||NPCR-21
花园小区|huāyuánxiǎoqū||garden district|||NPCR-21
花园|huāyuán||garden|||NPCR-21
区|qū||district; section; area|||NPCR-21
车站|chēzhàn||bus stop|||NPCR-21
前边|qiánbian||front; ahead|||NPCR-21
前|qián||front; ahead; forward|||NPCR-21
拐|guǎi||to turn|||NPCR-21
下边|xiàbian||below; underneath|||NPCR-21
下|xià||down; under|||NPCR-21
书店|shūdiàn||bookstore|||NPCR-21
上边|shàngbian||above; over; upward|||NPCR-21
上|shàng||upper; up|||NPCR-21
平方米|píngfāngmǐ||square meter|||NPCR-21
平方|píngfāng||square|||NPCR-21
米|mǐ||meter|||NPCR-21
卫生间|wèishēngjiān||washroom; bathroom|||NPCR-21
卫生|wèishēng||hygiene; health|||NPCR-21
客厅|kètīng||living room|||NPCR-21
北边|běibian||north side|||NPCR-21
北|běi||north|||NPCR-21
卧室|wòshì||bedroom|||NPCR-21
卧|wò||to lie on one's back|||NPCR-21
外边|wàibian||outside|||NPCR-21
阳台|yángtái||balcony|||NPCR-21
电影院|diànyǐngyuàn||cinema|||NPCR-21
咖啡馆|kāfēiguǎn||coffee bar|||NPCR-21
南边|nánbian||south (side)|||NPCR-21
足球场|zúqiúchǎng||soccer field|||NPCR-21
出差|chūchāi||to go on a business trip|||NPCR-21
后边|hòubian||back; behind|||NPCR-21
输|shū||to lose|||NPCR-21
天堂|tiāntáng||heaven; paradise|||NPCR-21
苏杭|sūháng||Suzhou and Hangzhou|||NPCR-21
苏州|sūzhōu||Suzhou|||NPCR-21
杭州|hángzhōu||Hangzhou (a city in China)|||NPCR-21
城市|chéngshì||city|||NPCR-21
山水|shānshuǐ||landscape|||NPCR-21
山|shān||hill; mountain|||NPCR-21
园林|yuánlín||garden; park|||NPCR-21
修建|xiūjiàn||to build; to construct|||NPCR-21
诗人|shīrén||poet|||NPCR-21
设计|shèjì||to design|||NPCR-21
建筑师|jiànzhùshī||architect|||NPCR-21
