Phrase	Grammar	Transcription	Translation	Notes
过敏		guòmǐn		
开胃菜		kāiwèi cài		
靠墙角		kào qiángjiǎo		
空位		kōngwèi		
烤		kǎo		
牛肉		niúròu		
啤酒		píjiǔ		
帐单		zhàngdān		
红茶		hóngchá		
煮		zhǔ		
碗		wǎn		
红烧		hóngshāo		
白兰地		báilándì		
面包		miànbāo		
靠窗		kàochuāng		
算		suàn		
听		tīng		
香槟		xiāngbīn		
收		shōu		
鸡		jī		
辣椒酱		làjiāo jiàng		
辣椒		làjiāo		
中餐		zhōngcān		
筷子		kuàizi		
菊花		júhuā		
咖啡		kāfēi		
可乐		kělè		
冷		lěng		
凉拌		liángbàn		
凉菜		liángcài		
米饭		mǐfàn		
螃蟹		pángxiè		
香酥鸭		xiāngsūyā		
黄瓜		huángguā		
杯子		bēizi		
决定		juédìng		
炸		zhà		
甜点		tiándiǎn		
脏		zāng		
饮料		yǐnliào		
干		gàn		
鸭		yā		
饺子		jiǎozi		
鸡蛋		jīdàn		
蛋		dàn		
您慢慢吃		nín mànmànchī		
主菜		zhǔcài		
高级		gāojí		
鱼		yú		
洋酒		yángjiǔ		
忘		wàng		
叉子		chāzi		
叉		chá		
新鲜		xīnxiān		
锅贴		guōtiē		
炒面		chǎomiàn		
炒饭		chǎofàn		
果汁		guǒzhī		
绿茶		lǜchá		
青菜		qīngcài		
火腿		huǒtuǐ		
拿手菜		náshǒu cài		
招牌菜		zhāopái cài		
饿		è		
冰		bīng		
便宜		piányi		
茉莉花		mòlì huā		
刀		dāo		
少		shǎo		
羊肉		yángròu		
猪油		zhūyóu		
龙虾		lóngxiā		
豪华		háohuá		
茅台		máotái		
肉		ròu		
丸子		wánzi		
菜单		càidān		
牛奶		niúnǎi		
矿泉水		kuàngquán shuǐ		
味精		wèijīng		
餐巾纸		cān jīn zhǐ		
汤面		tāngmiàn		
面条		miàntiáo		
油		yóu		
油腻		yóunì		
一起算		yīqǐ suàn		
一个菜		yīgè cài		
桔子汁		júzi zhī		
橙汁		chéngzhī		
点菜		diǎncài		
普通		pǔtōng		
外头		wàitou		
老		lǎo		
结帐		jiézhàng		
买单		mǎidān		
胡椒		hújiāo		
盘子		pánzi		
淡		dàn		
猪肉		zhūròu		
壶		hú		
土豆		tǔdòu		
包间		bāojiān		
青岛		qīngdǎo		
爆		bào		
嫩		nèn		
生		shēng		
好		hǎo		
推荐		tuījiàn		
红葡萄酒		hóng pútáojiǔ		
酒楼		jiǔlóu		
酒家		jiǔjiā		
饭馆		fàn'guǎn		
餐厅		cāntīng		
餐馆		cān'guǎn		
沙拉		shālā		
三文鱼		sānwényú		
盐		yán		
咸		xián		
三明治		sān míngzhì		
葱		cōng		
海鲜		hǎixiān		
服务费		fúwù fèi		
七喜		qīxǐ		
肉丝		ròusī		
虾		xiā		
片		piān		
熏		xūn		
小吃店		xiǎochī diàn		
汤		tāng		
酸		suān		
酸辣		suānlà		
酱油		jiàngyóu		
宫保鸡丁		gōngbǎojīdīng		
辣		là		
分开算		fēnkāi suàn		
勺		sháo		
鱿鱼		yóuyú		
拼盘		pīnpán		
主食		zhǔshí		
牛排		niúpái		
馒头		mántou		
包子		bāozi		
炖		dùn		
炒		chǎo		
糖		táng		
甜		tián		
糖醋		tángcù		
桌子		zhuōzi		
里脊		lǐjǐ		
牙签		yáqiān		
硬		yìng		
火鸡		huǒjī		
吃素		chīsù		
素菜		sùcài		
醋		cù		
伏特加		fútèjiā		
服务员		fúwù yuán		
西餐		xīcān		
威士忌		wēishìjì		
白葡萄酒		bái pútáojiǔ		
酒单		jiǔdān		
乌龙茶		wūlóng chá		
