Phrase	Grammar	Transcription	Translation	Notes
出		chū	wychodzić; zdarzyć się; wschodzić	
妨碍		fángài	być przeszkodą; powstrzymywać	
屋		wū	dom; pokój	
那么		nàme	następnie; w ten sposób; tak bardzo; w takim razie	
打扰		dǎrǎo	przeszkadzać; niepokoić; zakłócić spokój	
抱歉		bàoqiàn	żałować; mieć wyrzuty sumienia	
让		ràng	pozwolić; kazać; ustąpić	
久		jiǔ	dawno; długo	
叫		jiào	kazać; zawołać	
帮		bāng	pomagać; podtrzymać; grupa; gang; partia	
送		sòng	posłać; dostarczyć; zanieść; podarować; odprowadzić	
不好意思		bùhǎo yìsi	być zakłopotanym; wstydzić się; być zażenowanym	
又		yòu	ponownie; jeszcze raz; znowu	
帮忙		bāngmáng	pomóc; wyświadczyć przysługę	
别		bié	nie wolno	
上		shàng	wschodzić; wznosić się; wsiadać	
要是		yàoshi	jeśli	
马上		mǎshàng	natychmiast; zaraz	
下		xià	schodzić; zstępować; wysiadać	
照相机		zhàoxiàng jī	aparat fotograficzny	
照相		zhàoxiàng	zrobić zdjęcie	
盒		hé	pudełko	
借		jiè	pożyczyć; wymówka; pretekst; przy pomocy	
小说		xiǎoshuō	powieść	
杂志		zázhì	czasopismo	
起来		qǐlai	wstawać	
跑		pǎo	uciekać	
