Phrase	Grammar	Transcription	Translation	Notes
工作制		gōngzuòzhì	system pracy	
周		zhōu	tydzień	
礼拜六		lǐbàiliù	sobota	
礼拜天		lǐbàitiān	niedziela	
不过		bùguò	ale	
备课		bèi kè	przygotowywać lekcje	
郊区		jiāoqū	przedmieście	
上班		shàng bān	iść do pracy	
下班		xià bān	wracać z pracy	
花		huā	wydawać; spędzać	
班车		bānchē	autobus dowożący pracowników do przedsiębiorstwa	
先		xiān	najpierw	
地铁		dìtiě	metro	
假期		jiàqī	wakacje	
放假		fàng jià	mieć wakacje	
重要		zhòngyào	ważny	
传统		chuántǒng	tradycja	
节日		jiérì	święto; dzień świąteczny	
署假		shǔjià	wakacje letnie	
寒假		hánjià	ferie zimowe	
一般		yībān	zwyczajny	
旬		xún	okres dziesięciu dni	
底		dǐ	koniec	
羡慕		xiànmù	zazdrościć	
爱人		àirén	małżonek	
春节		Chūn Jié	Święto Wiosny	
