Phrase	Grammar	Transcription	Translation	Notes
蒙古		Měnggǔ	Mongolia	
蒙古人		Měnggǔrén	Mongoł	
中國話		Zhōngguóhuà	język chiński	
真理		zhēnlǐ	prawda	
真理報		Zhēnlǐ Bào	gazeta "Prawda"	
雜誌		zázhì	czasopismo	
個		gè	sztuka	
位		wèi	osoba	
張		zhāng	arkusz; płaszczyzna	
些		xiē	pewna ilość	
機器		jīqì	maszyna	
怎麼樣		zěnmeyàng	jaki	
壞		huài	zły	
白		bái	biały; jasny	
黑		hēi	czarny; ciemny	
衣服		yīfu	ubranie	
可是		kěshì	ale	
貴		guì	drogi	
把		bǎ	rączka	klasyfikator
所		suǒ	miejsce	klasyfikator
本		běn	tom; oprawa	klasyfikator
件		jiàn	sztuka	klasyfikator
多少		duōshǎo	ile?	
這裏		zhèlǐ	tutaj	
有		yǒu	mieć; istnieć	
幾		jǐ	kilka; ile?	
木器		mùqì	meble	
包		bāo	zawiniątko; paczka	
套		tào	komplet	
碗		wǎn	miska	
茶		chá	herbata	
茶碗		cháwǎn	filiżanka	
飯碗		fànwǎn	miska	
三四		sān-sì	trzy-cztery	
沒		méi	nie	
只有		zhǐ yǒu	jest tylko	
幾		jǐ	kilka	
家裏		jiālǐ	w domu	
男的		nánde	rodzaju męskiego; mężczyzna	
女的		nǚde	rodzaju żeńskiego; kobieta	
吸墨紙		xīmòzhǐ	bibuła do osuszania atramentu	
墨水壺兒		mòshuǐ hú'r	kałamarz	
自來水筆		zìlái shuǐbǐ	długopis automatyczny	
剪刀		jiǎndāo	nożyce	
那不多		nà bù duō	a to niedużo	
口		kǒu	usta	klasyfikator
塊		kuài	kawałek	klasyfikator
枝		zhī	gałązka	klasyfikator
有的是		yǒudeshì	jest i to dużo	
給		gěi	dawać	
給...看看		gěi ... kànkan	dać przeczytać	
二十二		èrshí'èr	dwadzieścia dwa	
六十七		liùshí qī	sześćdziesiąt siedem	
