Phrase	Grammar	Transcription	Translation	Notes
這		zhè	ten; ta; to	
是		shì	być; tak	
［甚］		shén	co? jak? jakiś	
麽		mó	czy?	
［鋼］		gāng	stal	
［筆］		bǐ	pędzelek	
那		nà	tamten; tamta; tamto	
那		nǎ	jaki? który?	
［鉛］		qiān	ołów	
［不］		bù	nie	
［的］		de	należący do	
［枝］		zhī	-	klasyfikator pędzelków, długopisów, ołówków
［幾］		jǐ	ile? kilka	
兩		liǎng	dwa; oba	
誰		shéi	kto?	
好		hǎo	dobry; dobrze	
好		hào	lubić; podobać się	
［個］		gè	sztuka; klasyfikator ogólny	
［夫］		fū	mąż; mężczyzna	
一		yī	jeden	
二		èr	dwa	
三		sān	trzy	
甚麽		shénme	co? jaki? co za ...?	
鋼筆		gāngbǐ	pióro wieczne	
鉛筆		qiānbǐ	ołówek	
不是		bù shì	nie jest; nie	
我的		wǒde	mój; moja; moje	
你的		nǐde	twój; twoja; twoje	
他的		tāde	jego; jej; ich	
這個		zhège	ten; ta; to	
甚麽人		shénme rén	kto?	
那個		nàge	tamten; tamta; tamto	
誰的		shéide	czyj? czyja? czyje?	
工夫		gōngfu	czas wolny	
