Phrase	Grammar	Transcription	Translation	Notes
alle			wszyscy	
angenehm	a		miły; przyjemny	
der Bahnhof			dworzec kolejowy	
bitte			proszę	
danke			dziękuję	
das			-	
dort			tam	
du			ty	
einmal			raz; kiedyś	
er			on	
es			ono	
das Gepäck			bagaż	
gut			dobry	
herzlich			serdeczny	
hier			tutaj	
ich			ja	
ihr			wy	
in			w	
ja			tak	
der Koffer			walizka	
der Lautsprecher			głośnik	
die Lektion			lekcja	
noch			jeszcze	
nun			teraz	
der Ostbahnhof			Dworzec Wschodni	
schnell			szybko	
schon	adv		już	
sehr			bardzo	
sein	v		być	
sie			ona; one; oni	
der Tag			dzień	
die Tasche			torba; torebka	
und			i; a	
willkommen			witamy	
wir			my	
wirklich			rzeczywiście	
Guten Tag!			Dzień dobry!	
Herzlich willkommen!			Serdecznie witamy!	
in Berlin			w Berlinie	
sehr angenehm			bardzo mi miło	
noch einmal			jeszcze raz	
