Phrase	Grammar	Transcription	Translation	Notes
zum ersten Mal			po raz pierwszy	
alle Geschenke			wszystkie prezenty	
zollpflichtige Waren			towary podlegające ocleniu	
zu Besuch fahren			jechać z wizytą	
zu Freunden fahren			jechać do przyjaciół	
Gute Fahrt!			Szczęśliwej podróży!	
einen angenehmen Aufenthalt wünschen			życzyć przyjemnego pobytu	
in Wert von mehr als ... Zl			o wartości ponad ... zł	
anziehen			ubierać; zakładać	
der Anzug			garnitur	
der Aufenthalt			pobyt	
aufgeregt			zdenerwowany	
das Ausland			zagranica	
auspacken			rozpakować	
die Autoschlange			rząd samochodów	
die Bettwäsche			bielizna pościelowa	
der Büstenhalter			biustonosz	
das Bild			obraz	
bleiben			pozostać	
die Bluse			bluzka	
das Bügeleisen			żelazko	
dauern			trwać	
das Dokument			dokument	
das Elektrogerät			sprzęt elektryczny	
enttäuscht			rozczarowany	
der Fluß			rzeka	
die Formalität			formalność	
die Freundschaft			przyjaźń	
die Freundschaftsgrenze			granica przyjaźni	
das Geschenk			prezent	
das Geschirr			naczynia	
die Grenze			granica	
der Grenzfluß			rzeka graniczna	
das Grenzgebiet			teren przygraniczny	
die Grenzkontrolle			kontrola graniczna	
die Handtasche			torebka	
hängen			wisieć; wieszać	
das Hemd			koszula	
das Heizgerät			grzejnik	
hinter			za	
die Hose			spodnie	
die Jacke			kurtka; marynarka	
das Kleid			sukienka	
die Kleinigkeit			drobiazg	
das Kristall			kryształ	
die Kristallvase			wazon kryształowy	
lange			długo	
legen			kłaść; położyć	
die Liege			leżanka	
der Lastkraftwagen			ciężarówka	
neben			obok	
der Norden			północ	
der Osten			wschód	
passieren			przechodzić; przejechać; zdarzyć się	
das Porzellan			porcelana	
der Pullover			sweter	
der Schlagbaum			szlaban; bariera	
die Schlange			kolejka; wąż	
der Schrank			szafa	
der Schreibtisch			biurko	
die Schüssel			miska; półmisek	
ser Sessel			fotel	
die Staatsgrenze			granica państwa	
der Süden			południe	
der Teller			talerz	
die Textilien			tekstylia	
der Tisch			stół	
die Tischdecke			obrus	
über			nad	
übertreiben			przesadzać	
unter			pod	
das Unterhemd			podkoszulek	
die Unterhose			kalesony	
der Unteroffizier			podoficer	
die Vase			waza; wazon	
vorn			z przodu; na przodzie	
die Volksrepublik Polen			Polska Rzeczpospolita Ludowa	
wahrscheinlich			prawdopodobnie	
die Wand			ściana	wewnętrzna
die Wäsche			bielizna	
weiterfahren			jechać dalej	
der Wert			wartość	
der Westen			zachód	
die Westgrenze			granica zachodnia	
das Zollgebäude			budynek urzędu celnego	
zollpflichtig			podlegający ocleniu	
der Zöllner			celnik	
zurechtlegen			przygotować	
zwischen			między	
