Phrase	Grammar	Transcription	Translation	Notes
hinter dem Tische			za stołem	
auf dem Tische			na stole	
alle			wszyscy; wszystkie	
antworten			odpowiadać	
blau			niebieski	
braun			brunatny; brązowy	
bunt			pstry; różnobarwny	
die Decke			sufit	
dieser, diese, dieses			ten, ta, to	
dunkelrot			ciemnoczerwony	
die Farbe			barwa; kolor	
fragen			pytać	
die Fußmatte			wycieraczka	
gelb			żółty	
grau			szary; siwy	
grün			zielony	
hellbraun			jasnobrunatny	
hellgelb			jasnożółty	
hellrot			jasnoczerwony	
jeder, jede, jedes			każdy, każda, każde	
jener, jene, jenes			tamten, tamta, tamto; ów, owa, owo	
die Mappe			teczka	
die Mutter			matka	
rot			czerwony	
schmutzig			brudny	
schwarz			czarny	
sondern			lecz; ale	
die Wand			ściana	
weiß			biały	
