Phrase	Grammar	Transcription	Translation	Notes
die Lektion			lekcja	
das Thema			temat	
die Grammatik			gramatyka	
der Unterricht			lekcja; zajęcia	
die Stunde	f		godzina; lekcja	
das Studium	n		studia	
der Satz			zdanie	
das Wort			słowo; wyraz	
das Interesse	n		zainteresowanie	
lernen			uczyć się	
lehren	vt		uczyć	
kennen			znać	
grüßen			pozdrawiać	
beginnen			zaczynać; zaczynać się	
bilden	vt		budować	
korrigieren			poprawiać	
heißen			nazywać się	
fehlen			brakować	
üben	vt		ćwiczyć	
übersetzen	vt		tłumaczyć	
verstehen			rozumieć	
richtig	a		właściwy; poprawny	
richtig	adv		dobrze; poprawnie	
falsch	a		zły; niepoprawny	
falsch	adv		źle; niepoprawnie	
deutsch	a		niemiecki	
deutsch	adv		po niemiecku	
deutlich	a		wyraźny	
deutlich	adv		wyraźnie	
klar	a/adv		jasny; jasno	
angenehm	a		miły; przyjemny	
angenehm	adv		miło; przyjemnie	
gleichfalls	adv		tak samo; również; też	
schon	adv		już	
schön	a		ładny; piękny	
schön	adv		ładnie; pięknie	
