Phrase	Grammar	Transcription	Translation	Notes
Καλώς ήρθες!			Witaj!	
Καλώς ήρθατε!			Witajcie!	
Χαίρω πολύ!			Bardzo mi miło!	
Καλό ταξίδι!			Szczęśliwej drogi!	
Εις υγείαν!			Na zdrowie!	
Χαιρετισμούς			pozdrowienia	
πώς είστε;			jak się macie?	
οι γονείς			rodzice	
ο αδελφός			brat	
η αδελφή			siostra	
ο παππούς			dziadek	
η γιαγιά			babcia	
ο πεθερός			teść	
η πεθερά			teściowa	
ο θείος			wujek	
η θεία			ciocia	
ο ξάδελφος			kuzyn	
η (ε)ξαδέλφη			kuzynka	
τα ξαδέλφια			kuzyni	
ο γαμπρός			pan młody	
η νύφη			panna młoda	
ο κουνιάδος			szwagier	
ο φίλος			przyjaciel	
η φίλη			przyjaciółka	
μένω			mieszkać	
ξέρω			wiedzieć	
και			i	
ένας			jeden	
μία			jedna	
δύο			dwa	
επίσης			też; także; również	
ουρανός			niebo	
γιατρός			lekarz	
λογαριασμός			rachunek	
οδηγός			kierowca	
υπουργός			minister	
πεθερός			teść	
φόρος			podatek	
φούρνος			piekarnia; piec	
υπεύθυνος			odpowiedzialny	
τόκος			oprocentowanie	
κίνδυνος			niebezpieczeństwo	
δρόμος			ulica	
δολοφόνος			morderca	
άνθρωπος			osoba	
υπάλληλος			pracownik	
πρόεδρος			prezydent	
δάσκαλος			nauczyciel	
κάτοικος			mieszkaniec	
καπετάνιος			kapitan	
μηχανικός			inżynier	 
πυρετός			gorączka	
σύζυγος			mąż	
καπνός			dym; tytoń	
τίτλος			tytuł	
άνεμος			wiatr	
καιρός			pogoda	
