Phrase	Grammar	Transcription	Translation	Notes
μηδέν			zero
ένα			jeden
δύο			dwa
τρία			trzy
τέσσερα			cztery
πέντε			pięć
έξι			sześć
επτά ή εφτά			siedem
οκτώ ή οχτώ			osiem
εννέα ή εννιά			dziewięć
δέκα			dziesięć
έντεκα			jedenaście
δώδεκα			dwanaście
δεκατρία			trzynaście
δεκατέσσερα			czternaście
δεκαπέντε			piętnaście
δεκαέξι			szesnaście
δεκαεφτά ή δεκαεπτά			siedemnaście
δεκαοκτώ ή δεκαοχτώ			osiemnaście
δεκαεννέα ή δεκαεννιά			dziewiętnaście
είκοσι			dwadzieścia
είκοσι ένα			dwadzieścia jeden
είκοσι δύο			dwadzieścia dwa
είκοσι τρία			dwadzieścia trzy
είκοσι τέσσερα			dwadzieścia cztery
είκοσι πέντε			dwadzieścia pięć
είκοσι έξη			dwadzieścia sześć
τριάντα			trzydzieści
τριάντα πέντε			trzydzieści pięć
τριάντα έξι			trzydzieści sześć
τριάντα επτά			trzydzieści siedem
τριάντα οκτώ			trzydzieści osiem
τριάντα εννιά			trzydzieści dziewięć
σαράντα			czterdzieści
πενήντα			pięćdziesiąt
εξήντα			sześćdziesiąt
εβδομήντα			siedemdziesiąt
ογδόντα			osiemdziesiąt
ενενήντα			dziewięćdziesiąt
εκατό			sto

ακριβώς -o’clock

(ένα) τέταρτο - quarter (of an hour) 
μισή (ώρα)- half (an hour)

Η ώρα - the hour To λεπτό - the minute To δευτερόλεπτο - the second To πρωί - the morning To μεσημέρι - noon To απόγευμα - the afternoon To βράδυ - the evening Η νύχτα - the night Τα μεσάνυχτα - midnight πμ (πριν το μεσημέρι) - am μμ (μετά το μεσημέρι) - pm Το ρολόι - the watch, the clock Δεν έχω ρολόι -1 don’t have a watch

το όνομα το επίθετο το επώνυμο το

ονοματεπώνυμο ο γιος η κόρη προτιμώ πάντα η ζάχαρη το γάλα ο μικρός η μικρή ανοίγω κλείνω φεύγω το μαγαζί το έργο το τραίνο το πράγμα ο σκύλος ο γάτος η γάτα η τηλεόραση η εφημερίδα ο αριθμός το νούμερο εντάξει ευχαριστώ παρακαλώ

συχνά

χωρίς

με
