Phrase	Grammar	Transcription	Translation	Notes
azeno			osioł	
ĉevalo			koń	
bovo			wół	
bovino			krowa	
kapro			koza	
ŝafo			owca; baran	
porko			świnia; wieprz	
vosto			ogon	
vesto			ubranie; odzież	
kapo			głowa	
haro			włos	
ĉapelo			kapelusz	
mono			pieniądze	
mano			ręka	
piedo			noga	
okulo			oko	
orelo			ucho	
nazo			nos	
buŝo			usta	
koro			serce	
butono			guzik	
manpoŝo			torebka	
koloro			barwa; kolor	
ŝinko			szynka	
kolbaso			kiełbasa	
kurso			kurs	
terglobo			kula ziemska	
amiko			przyjaciel	
bastono			kij; laska	
spegulo			lustro	
obstina			uparty	
multekosta			kosztowny	
blonda			jasnowłosy; płowy	
diversa			różny	
utila			pożyteczny	
kostas			kosztuje	
vidas			widzi	
aŭdas			słyszy	
manĝas			je; zjada	
kantas			śpiewa	
flaras			wącha	
pensas			myśli	
sentas			czuje	
diras			mówi; rzecze	
partoprenas			uczestniczy	
ses			sześć	
ke			że	
