Phrase	Grammar	Transcription	Translation	Notes
سر		sar	głowa	
باو		be-u	jemu	
بدو		bed-u	jego	
بدین		bed-in	tym	
دست		dast	ręka	
روز		ruz	dzień	
دیشب		dišab	wczoraj wieczorem	
دزد		dozd	złodziej	
مرا		ma-rā	mnie	
بوسیدن		busidan	całować	
تورا		to-rā	ciebie	
شکر		šokr	podziękowanie	
مدرسه		madrase	szkoła	
درس		dars	lekcja	
تخته		taxte	tablica	
آوردن		āvardan	przynosić	
مدیر		modir	dyrektor	
تاریخ		tārix	historia	
جغرافیا		joġrāfiyā	geografia	
آموختن		āmuxtan	uczyć się	
قصه		qesse	bajka	
در		dar	drzwi	
برگشتن		bar-gaštan	zawracać	
شناختن		šenāxtan	poznać; znać	
بکی		be-ki	komu	
گچ		gač	kreda	
ماندن		māndan	pozostać	
شاگرد		šāgerd	uczeń	
