Phrase	Grammar	Transcription	Translation	Notes
آن		āb	tamten	
این		in	ten	
او		u	on; ona	
جا		jā	miejsce	
آنجا		ānjā	tam	
اینجا		injā	tutaj	
کجا؟		kojā?	gdzie?	
روز		ruz	dzień	
شب		šab	noc	
سال		sāl	rok	
امروز		emruz	dzisiaj	
امشب		emšab	dziś w nocy	
امسال		emsāl	w tym roku	
دیروز		diruz	wczoraj	
دیشب		dišab	zeszłej nocy	
پارسال		pārsāl	zeszłego roku	
میز		miz	stół	
صندلی		sandali	krzesło	
کتاب		ketāb	książka	
دفتر		daftar	zeszyt	
کاغز		kāġaz	papier	
قلم		qalam	pióro do pisania	
مداد		medād	ołówek	
یک		yek	jeden	
دو		do	dwa	
سه		se	trzy	
چهار		čahār	cztery	
پنج		panj	pięć	
شش		šeš	sześć	
هفت		haft	siedem	
هشت		hašt	osiem	
نه		noh	dziewięć	
ده		dah	dziesięć	
مرد		mard	mężczyzna	
زن		zan	kobieta	
آقا		āqā	pan	
خانم		xānom	pani	
پدر		pedar	ojciec	
مادر		mādar	matka	
پسر		pesar	chłopiec	
دختر		doxtar	dziewczynka	
بچه		bačče	dziecko	
خواهر		xāhar	siostra	
برادر		barādar	brat	
خانه		xāne	dom	
منزل		manzel	mieszkanie	
اتاق		otāq	pokój	
ساعت		sāʿat	zegar	
دارد		dārad	ma	
است		ast	jest	
هستند		hastand	są	
بیا		biyā	chodź	
برو		borow	idź	
حالا		hālā	teraz	
و		va	i	
بله		bale	tak	
چه؟		če?	co?	
چی؟		či?	co?	
کی؟		ki?	kto?	
