Phrase	Grammar	Transcription	Translation	Notes
سلام		salām	cześć	
صبح		sobh	poranek	
به خير		be-xeyr	oby był dobry	
خدا		Xodā	Bóg	
حافظ		hāfez	obrońca	
شب		šab	noc	
روز		ruz	dzień	
ظهر		zohr	południe	
عصر		asr	popołudnie	
سفر		safar	podróż	
خانم		xānom	pani	
آقا		āqā	pan	
بفرماييد		befarmāid	proszę; czym mogę służyć?	
ببخشيد		bebaxšid	przepraszam	
من		man	ja	
هستم		hastam	jestem	
آها		āhā	och	
بله		bale	tak	
اين		in	ten	
تلفن		telefon	telefon	
براى		barāye	dla	
شما		šomā	wy	
براى شماست		barāye šomā	dla was	
مرسى		mersi	dziękuję	
الو		alou	halo	
بودن		budan	być	
خوب		xub	dobry	
هست		hast	jest	
دكتر		doktor	doktor	
اما		ammā	ale	
ايشون		išun	oni	
خانم		xānom-e	pani ...	
آقاى		āqā-ye	pan ...	
خوش حال		xoš-hāl	szczęśliwy	
پیغام		peyġām	wiadomość	
هدیه		hedye	prezent; podarunek	
بسته		beste	paczka; prezent	
بلیت		belit	bilet	
هم		ham	także; też	
خیلی		xeyli	bardzo	
ممنون		mamnun	wdzięczny	
من		man	ja	
تو		to	ty	
او		u	on; ona	
آن		ān	to; tamto	
ما		mā	my	
شما		šomā	wy	
آنها		ānhā	oni	
