Phrase	Grammar	Transcription	Translation	Notes
le chien	N		pies	
le cou	N		szyja	
le coude	N		łokieć	
le genou	N		kolano	
le doigt	N		palec	
le bec	N		dziób	
le bras	N		ramię	
le corps	N		ciało	
le dos	N		plecy	
le membre	N		członek	
le pied	N		stopa	
la jambe	N		noga	
la main	N		ręka	
la poitrine	N		pierś	
l'épaule	N		bark	
l'aile	N		skrzydło	
la bouche	N		usta	
la patte	N		łapa	
la tête	N		głowa	
droit	Adj		prawy	
droite	Adj		prawa	
fort	Adj		silny	
forte	Adj		silna	
gauche	Adj		lewy; lewa	
robuste	Adj		mocny; mocna; silny; silna; krzepki; krzepka	
solide	Adj		solidny; solidna; stały; stała; wytrzymały; wytrzymała	
