Phrase	Grammar	Transcription	Translation	Notes
la leçon			lekcja	
un			jeden	
première			pierwsza	
on parle			mówi się; mówią	
français			po francusku	
écoutez!			słuchajcie!	
est-ce que?			czy?	
je parle			mówią	
oui			tak	
vous parlez			mówicie	
parlez-vous?			czy mówicie?	
polonais			po polsku	
monsieur			pan	
russe			po rosyjsku	
madame			pani	
non			nie	
je ne parle pas			nie mówię	
allemand			po niemiecku	
mademoiselle			panna; panienka	
parle-t-il?			czy on mówi?	
anglais			po angielsku	
il ne parle pas			on nie mówi	
elles parlent			one mówią	
messieurs			panowie	
nous parlons			my mówimy	
mesdames			panie	
nous ne parlons pas			nie mówimy	
mesdemoiselles			panienki; panie	
on parle français			mówi sie po francusku	
est-ce que je parle?			czy ja mówię?	
