Phrase	Grammar	Transcription	Translation	Notes
de	det, prep	də, dy, de	of, from, some, any	
je	pro	ʒə, ʒ	I	
le pas	adv,nm(pl)	pɑ	not, n’t; footstep	
le	det, pro	lə	the; him, her, it, them	
que	adv,conj,pro	kə	that, which, who, whom	
tu	pro	ty	you	
vous	pro	vu	you(pl)	
un	adj, det, nm, pro	œ͂	a, an, one	
et	conj	e	and	
à	prep	a	to, at, in	
il	pro	il	he, it	
ne	adv	nə	not	
en	adv,prep,pro	ɑ͂	in, by	
on	pro	ɔ͂	one, we	
ce	det,pro	sə	this, that	
pour	prep	puʀ	for, in order to	
qui	pro	ki	who, whom	
mais	adv,conj,intj	mɛ	but	
dans	prep	dɑ͂	in, into, from	
nous	pro	nu	we, us	
elle	pro	ɛl	she, her	
bien	adji,adv,nm	bjɛ͂	well	
me	pro	mə	me, to me, myself	
le si	adv,conj,nmi	si	if, whether	
y	adv,nmi,pro	igʀɛk	there	
le non	adv,nmi	nɔ͂	no, not	
avec	prep	avɛk	with	
tout	adv,det,nadj,pro	tu	all, very	
plus	adv	ply	more, no more	
mon	det	mɔ͂, me	my	
te	pro	tə	you, to you, from you	
le fait	adj,nm	fɛ	done, fact	
le moi	nm,pro	mwa	me	
oui	adv,nmi	ˊwi	yes	
faire	nm,v	fɛʀ	to do, make	
sur	adj,prep	syʀ	on, upon	
quoi	pro	kwa	what	
se	pro	sə	oneself, himself, herself, itself, themselves	
comme	adv,conj	kɔm	like, as	
être	nm,v	ɛtʀ	to be; being	
ici	adv	isi	here	
toi	nm,pro	twa	you, yourself	
dit	nadj	di, dit	said, so-called; tale	
lui	pro	lɥi	him, her	
votre	det	vɔtʀ	your	
pourquoi	adv,conj,nmi	puʀkwa	why	
où	adv,pro	u	where	
la rien	adv,nm,pro	ʀjɛ͂	nothing	
là	adv,intj	la	there, here	
quand	adv,conj	kɑ͂	when	
dire	nm,v	diʀ	to say	
le son	det,nm	sɔ͂	his, her, its; sound	
le ton, la ton	det,nm	tɔ͂	your; tone	
alors	adv	alɔʀ	then, so	
comment	adv,conj,intj,nmi	kɔmɑ͂	how	
par	prep	paʀ	by	
ou	conj	u	or	
la chose	adj(f),nf	ʃoz	thing	
le bon	adj,adv,intj,nm	bɔ͂	good	
le merci, la merci	intj,nm,nf	mɛʀsi	thank you; favor	
juste	adv,nadj(f)	ʒyst	just, only; fair	
très	adv	tʀɛ	very	
jamais	adv	ʒamɛ	never	
un été	nm	ete	summer	
avoir	nm,v	avwaʀ	to have	
vraiment	adv	vʀɛmɑ͂	truly, really, very	
aussi	adv,conj	osi	too, also, as	
voir	v	vwaʀ	to see	
oh	intj	o	oh	
même	adj(f),adv,pro	mɛm	same, even, self	
maintenant	adv	mɛ͂t(ə)nɑ͂	now	
le deux	det,nmi	dø	two	
autre	det,nadj(f),pro	otʀ	other	
peu	adv	pø	little	
quelque	adv,adj,det	kɛlk	some	
le temps	nm(pl)	tɑ͂	time	
toujours	adv	tuʒuʀ	always	
encore	adv	ɑ͂kɔʀ	again, yet	
notre	det	nɔtʀ, no	our	
le besoin	nm	bəzwɛ͂	need	
un accord	nm	akɔʀ	agreement	
la vie	nf	vi	life	
aller	nm,v	ale	to go	
la fois	nf(pl)	fwa	time, times	
sans	prep	sɑ͂	without	
donc	conj	dɔ͂k	so, then, therefore, thus	
le monde	nm	mɔ͂d	world, people	
un avant	adji,adv,nm,prep	avɑ͂	before;&nbsp;forward	
sûr	adj	syʀ	sure	
trop	adv	tʀo	too much, too many	
