Phrase	Grammar	Transcription	Translation	Notes
Ἰησοῦς	N		Jesus, Joshua	
Ἰουδαῖος, -α, -ον	N		Jewish (person)	
Παῦλος	N		Paul	
Πέτρος	N		Peter	
Ἱεροσόλυμα	N		Jerusalem	
Ἰωάννης	N		John	
ὁ Φαρισαῖος, -ου	N		a Pharisee	
Μωϋσῆς	N		Moses	
Σίμων	N		Simon	
Ἀβραάμ	N		Abraham	
Ἰσραήλ	N		Israel	
Γαλιλαία	N		Galilee	
Δαυίδ	N		David	
Πιλᾶτος	N		Pilate	
Μαρία	N		Mary	
Ἰούδας	N		Judas, Judah	
Ἰουδαία	N		Judea	
Ἡρῴδης	N		Herod	
Ἰάκωβος	N		James	
Φίλιππος	N		Philip	
Σατανᾶς	N		Satan	
Ἰωσήφ	N		Joseph	
Ἠλίας	N		Elijah	
Βαρναβᾶς	N		Barnabas	
Ἕλλην, -ηνος  (ὁ)<br>Ἑλληνίς, -ίδος  (ἡ)<br>Ἑλληνικός, -ή, -όν	N		a Greek man (noun: 25)<br>a Greek woman (noun: 2)<br>Greek (adjective: 1)	
Ἰακώβ	N		Jacob	
Aἴγυπτος	N		Egypt	
Τιμόθεος	N		Timothy	
Μακεδονία	N		Macedonia	
Ἠσαϊας	N		Isaiah	
Ἰσαάκ	N		Isaac	
ὁ Ναζωραῖος / Ναζαρηνός -ου	N		an inhabitant of Nazareth, Nazarene	
Ἀντιόχεια	N		Antioch	
Ἀσία	N		Asia	
Καισάρεια	N		Caesarea	
Ἔφεσος	N		Ephesus	
Καφαρναούμ	N		Capernaum	
Σαῦλος	N		Saul	
Λάζαρος	N		Lazarus	
Ἰορδάνης	N		the Jordan	
Δαμασκός	N		Damascus	
ὁ Σαδδουκαῖος, -ου	N		a Sadducee	
Φῆστος	N		Festus	
Τίτος	N		Titus	
Ἀνδρέας	N		Andrew	
Μάρθα	N		Martha	
Βηθανία	N		Bethany	
Ζεβεδαῖος	N		Zebedee	
Βαβυλών	N		Babylon	
͑͑Ρωμαῖος, -ου  (ὁ)<br>Ρωμαῖος, -α, -ον	N		a Roman (noun)<br>Roman (adjective)	
