Phrase	Grammar	Transcription	Translation	Notes
ἀβαρής, -ές	N		not burdensome	
ἀγενεαλόγητος, -ον	N		without genealogy	
τό ἄγκιστρον, -ου	N		a fishhook	
ἡ ἀγκάλη, -ης	N		arm	
ὁ ἀγαθοποιός, -οῦ	N		beneficent, doing good	
ἡ Ἀβιληνή, -ῆς	V		Abilene	
ἄγνωστος, -ον	N		unknown	
ὁ Ἀβιαθάρ	V		Abiathar	
ὁ Ἀβαδδών	V		Abaddon	
ἡ ἁγιότης, -ητος	V		holiness	
τό ἄγγος, -ους	N		vessel, container	
ἡ ὠφέλεια, -ας	N		benefit, advantage	
ἀγράμματος, -ον	N		uneducated, illiterate	
ἀγγέλλω	N		to announce	
τό ὠτάριον, -ου	V		ear	
ἡ ἀγαθοποιϊα, -ας	V		welldoing	
τό ἀγνόημα, -τος	N		a sin of ignorance	
ψωμίζω	N		to feed with morsels	
ἡ ἀγανάκτησις, -εως	V		indignation	
ἁγνῶς	N		purely, sincerely	
τό ἀγγεῖον, -ου	N		a vessel, flask, container	
ὁ ἁγνισμός, -οῦ	V		purification	
ἀγενής, -ές	Adj		base, low, insignificant	
ὁ ὦμος, -ου	Adj		a shoulder	
ὁ Ἀδρίας, -ου	N		the Adriatic Sea	
ὁ Ἀδδί	N		Addi	
ἡ ἀδηλότης, -ητος	N		uncertainty	
ἡ ἀγωνία, -ας	N		agony, anguish	
ἀγραυλέω	Adv		to live out of doors	
ἡ αἱματεκχυσία, -ας	Adj		the shedding of blood	
ἀδίκως	N		unjustly	
ἀδιάκριτος, -ον	Adj		unwavering	
ἡ ἁδρότης, -ητος	V		an abundance	
Ἀδραμυττηνός, -ή, -όν	V		of Adramyttium	
ἡ ἀγωγή, -ῆς	V		a way of life, conduct	
αἴγειος, -α, -ον	V		of a goat	
ἄθεος, -ον	V		without God, godless	
ἀγρεύω	N		to catch unawares, to trap	
ἀθυμέω	V		to be discouraged, disheartened	
αἱμορροέω	V		to bleed, suffer with hemorrhage	
ἄδολος, -ον	N		unadulterated, pure	
ἡ Ἄζωτος, -ου	Adj		Azotus	
ἡ Aἰνών	N		Aenon	
ἡ ἄθλησις, -εως	-		a contest, conflict	
ἀθροίζω	V		to collect, gather together	
ὁ Ἀδμίν	N		Admin	
ἡ αἴνεσις, -εως	N		praise	
ἡ αἰδώς, -οῦς	V		modesty	
τό αἴνιγμα, -τος	N		a riddle	
ἀδήλως	N		uncertainly	
ἀδάπανος, -ον	V		free of charge	
ἡ αἴσθησις, -εως	V		perception, discernment	
ἀκλινής, -ές	Adj		without wavering	
ἀκαίρως	N		untimely	
ἀκωλύτως	-		without hindrance	
ἡ αἰσχρολογία, -ας	N		obscene speech, dirty talk	
τό αἰσθητήριον, -ου	N		faculty of perception, a sense	
ἀκατάγνωστος, -ον	N		beyond reproach	
τό ἀκροατήριον, -ου	N		auditorium, audience hall	
ἀκαιρέομαι	V		to have no opportunity	
αἰσθάνομαι	N		to notice, perceive, understand	
ἀκμάζω	Adj		to bloom, ripen	
αἰχμαλωτεύω	Adj		to capture, lead captive	
ἡ ἀκρίβεια, -ας	Pre		exactness, precision	
ἀκατάπαυστος, -ον	N		unceasing, restless	
ἀκρατής, -ές	Adv		without self-control, dissolute	
ἄκων	Adv		unwilling	
ἀκμήν	V		even yet, still	
