Phrase	Grammar	Transcription	Translation	Notes
ἡ ἑορτή, -ῆς	V		a feast	
ὁ νοῦς, νοός, νοϊ, νοῦν	V		the mind	
καταλείπω	N		to leave	
πίμπλημι	N		to fill	
τό δένδρον, -ου	N		a tree	
δουλεύω	Adj		to serve	
ἀναιρέω	N		to take up; to kill, put to death	
ὁ ἀστήρ, -έρος	V		a star	
ἡ ἀκοή, -ῆς	N		hearing; a report, news	
μήποτε	N		lest perchance	
νέος, -α, -ον	N		new, young	
ἡ νεφέλη, -ης	N		a cloud	
ἡ ἀσθένεια, -ας	Adj		weakness	
ἡ παρουσία, -ας	N		presence, coming	
ἡ ἐπιστολή, -ῆς	V		a letter	
μανθάνω	N		to learn	
φιλέω	V		to love	
ὁ Ἕλλην, -ηνος	Conj		a Greek	
ὁ στέφανος, -ου	N		a crown	
κελεύω	V		to order	
ἡ πορνεία, -ας	V		fornication	
χαρίζομαι	Conj		to give freely, forgive	
ἐλεύθερος, -α, -ον	V		free	
ἀγνοέω	Adj		to not know, be unaware	
ὁ σωτήρ, -ῆρος	Adj		Savior	
αὐξάνω	Pre		to cause to grow; increase	
ἡ χιλιάς, -άδος	V		a thousand	
ἡ εἰκών, -όνος	V		an image, likeness	
μιμνῄσκομαι	V		to remember	
κοπιάω	V		to toil, labor	
σός, σή, σόν	N		your	
τό ζῷον, -ου	N		a living creature, an animal	
γρηγορέω	V		to watch, keep watch	
τό σκεῦος, -ους	V		a vessel; goods (plural)	
ἄπιστος, -ον	V		unbelieving, faithless	
τελειόω	N		to fulfill, make perfect	
τό θυσιαστήριον, -ου	N		an altar	
πέραν	N		beyond (gen)	
ἀντί	V		instead of, for (gen)	
ἀνάγω	N		to lead up; to put to sea, set sail (middle)	
κατηγορέω	N		to accuse	
διότι	V		because	
περιβάλλω	Adj		to put around, clothe	
ὁ Τιμόθεος, -ου	N		Timothy	
ὁ ἀμπελών, -ῶνος	V		a vineyard	
πεινάω	V		to hunger	
κωλύω	Adj		to forbid, hinder, prevent	
θερίζω	N		to reap	
ἐφίστημι	V		to stand over, come upon	
ἐκλεκτός, -ή, -όν	Adv		chosen, elect	
δέομαι	V		to beseech	
ἡ μετάνοια, -ας	V		repentance	
πωλέω	V		to sell	
ὁ πλοῦτος, -ου	Pre		wealth, riches	
περισσός, -ή, -όν	N		excessive, abundant	
δοκιμάζω	V		to prove, approve	
ἡ Μακεδονία, -ας	V		Macedonia	
ἡ διδασκαλία, -ας	V		teaching, doctrine	
μηκέτι	N		no longer	
καθεύδω	N		to sleep	
μνημονεύω	V		to remember	
καθίστημι	V		to set, constitute, put in charge	
τό συνέδριον, -ου	N		a council, the Sanhedrin	
ἡ κοιλία, -ας	N		the belly, womb, stomach	
τεσσεράκοντα	Adj		forty	
βασιλεύω	N		to reign	
κατεργάζομαι	V		to work out, produce	
ἐκλέγω	N		to pick out, choose	
θεάομαι	Adj		to behold	
εὐδοκέω	V		to think it good, be well pleased with	
ἐνεργέω	N		to work, effect	
ἡ πληγή, -ῆς	N		a blow, wound, plague	
ὁ Ἠσαϊας, -ου	V		Isaiah	
λατρεύω	V		to serve, worship	
ὡσεί	V		like, about	
ἡ ἀκροβυστία, -ας	N		uncircumcision	
στρέφω	Adv		to turn	
ὑπακούω	V		to obey	
ἡ αἰτία, -ας	N		a cause, reason, accusation	
ὁ χιλίαρχος, -ου	N		a military tribune, captain, commander	
τό γένος, -ους	N		race, kind	
ὁ Ἰσαάκ	V		Isaac	
ὁ ἰχθύς, -ύος	V		a fish	
τιμάω	V		to honor	
ἡ ἐπίγνωσις, -εως	N		knowledge	
τό ἀργύριον, -ου	N		silver	
ὁ γονεύς, -έως	N		a parent	
ὁ ἡγεμών, -όνος	V		a leader, a (Roman) governor	
ὁ τελώνης, -ου	V		a taxgatherer	
ὁ πειρασμός, -οῦ	V		temptation	
ἑκατοντάρχης, -ου	N		a centurion	
ὁ κριτής, -ου	Adj		a judge	
ὁ ὑπηρέτης, -ου	Adj		a servant, assistant	
προάγω	Adj		to lead forth, go before	
μεριμνάω	V		to be anxious, distracted	
ἐπαίρω	V		to lift up	
ἀπέχω	N		to receive in full; to be distant; abstain (mid.)	
ἡ σκηνή, -ῆς	N		a tent, tabernacle	
παλαιός, -ά, -όν	Pre		old	
διακρίνω	Adj		to discriminate, judge; to doubt (middle)	
ἐπουράνιος, -ον	V		heavenly	
ὁ γεωργός, -οῦ	V		a farmer	
τρέχω	N		to run	
ἐπάνω	N		above; over (gen)	
τό δῶρον, -ου	N		a gift	
σοφός, -ή, -όν	N		wise	
ὦ	N		Oh!	
τό ξύλον, -ου	N		wood, tree	
ἡ κοινωνία, -ας	N		fellowship; contribution	
ἡ κτίσις, -εως	V		creation, creature	
τό μαρτύριον, -ου	N		a testimony, witness, proof	
ἐπιλαμβάνομαι	Adv		to take hold of, catch; <br />be concerned with τίνι, help	
τό βάπτισμα, -τος	N		baptism	
νυνί	N		now	
τοσοῦτος, -αύτη, -οῦτον	Adv		so great, so much; so many (plural)	
ὁ μήν, μηνός	N		a month	
νηστεύω	V		to fast	
ὑψόω	N		to lift up, exalt	
