Phrase	Grammar	Transcription	Translation	Notes
καταβαίνω	V		to go down	
ὑπάγω	V		to depart	
ὁ Μωϋσῆς, -έως	N		Moses	
οὔτε	Conj		neither, nor	
προσεύχομαι	N		to pray	
τό στόμα, -τος	N		a mouth	
πίπτω	V		to fall	
ἡ μήτηρ, -τρος	N		a mother	
τρεῖς, -τρία	Adj		three	
αἰώνιος, -ον	Adj		eternal	
τό ῥῆμα, -τος	N		a word	
μαρτυρέω	N		to bear witness, testify	
τό σημεῖον, -ου	V		a sign	
εὐαγγέλιον, -ου, -ν	N		good news, glad tidings, the Gospel	
πίνω	N		to drink	
βαπτίζω	N		to baptize	
ἄγω	V		to lead, bring, go	
ἡ ἐντολή, -ῆς	Adj		a commandment	
ἐμός, -ή, -όν	V		my, mine	
τηρέω	V		to keep	
ἀποκτείνω	V		to kill	
τό φῶς, -φωτός	V		light	
ὁ Ἀβραάμ	N		Abraham	
ὁ Ἰσραήλ	N		Israel	
ἡ κεφαλή, -ῆς	N		head	
τό πρόσωπον, -ου	N		face, presence	
ὁ Σίμων, -ωνος	Adj		Simon	
χαίρω	Adj		to rejoice	
δώδεκα	N		twelve	
τό Ἱεροσόλυμα	V		Jerusalem	
αἰτέω	V		to ask	
τό ἱερόν, -οῦ	N		a temple	
τό σάββατον, -ου	N		the Sabbath	
τό πῦρ, -ός	N		fire	
τό ὕδωρ, ὕδατος	V		water	
πιστός, -ή, -όν	N		faithful, believing	
ἀγαπητός, -ή, -όν	V		beloved	
φημί	Adj		to say	
τό θέλημα, -τος	V		will	
ἡ νύξ, -νυκτός	N		night	
ὁ καρπός, -οῦ	N		fruit	
κηρύσσω	Adj		to proclaim, preach	
ἤδη	V		now, already	
τό Ἱεροσόλυμα	N		Jerusalem	
εἴτε	Conj		if, whether	
τό δαιμόνιον, -ου	N		a demon	
ὧδε	N		here, hither	
κακός, -ή, -όν	Adv		bad, evil	
ἔξω	Adv		without; outside (gen)	
πρεσβύτερος, -α, -ον	V		elder	
ἐρωτάω	N		to ask, request, entreat	
τό ὄρος, -ους	V		a mountain	
δοξάζω	Adv		to glorify	
ἀπολύω	V		to release	
ὁ γραμματεύς, -έως	N		a scribe	
ὁ θρόνος, -ου	N		a throne	
φέρω	V		to carry, bear, bring, lead	
ἡ Γαλιλαία, -ας	Adj		Galilee	
δοκέω	N		to think; seem	
τό ἱμάτιον, -ου	V		a garment	
τό πλοῖον, -ου	N		a boat	
μηδέ	V		but not, nor, not even	
δεξιός, -ά, -όν	N		right	
ἡ χαρά, -ᾶς	V		joy, delight	
ἡ συναγωγή, -ῆς	V		a synagogue	
ἡ ἀρχή, -ῆς	N		a beginning	
ἐπερωτάω	Adj		to ask, question, demand of	
ὑπάρχω	V		to be, exist	
εὐθύς, -εῖα, -ύ	N		straightway, immediately	
μέσος, -η, -ον	Adj		middle, in the midst	
δέχομαι	Part		to receive	
συνάγω	N		to gather together	
προσκυνέω	N		to worship	
ὁ λίθος, -ου	Adv		a stone	
κράζω	V		to cry out	
ὁ Πιλᾶτος, -ου	Adj		Pilate	
ὁ Δαυίδ	N		David	
ἀσπάζομαι	N		to greet, salute	
τρίτος, -η, -ον	N		third	
ὁ διδάσκαλος, -ου	V		a teacher	
τοιοῦτος, -αύτη, -οῦτον	Adj		such	
θεωρέω	V		to look at, behold	
λοιπός, -ή, -όν	N		remaining; the rest (as a noun); for the rest, henceforth (as an adverb)	
ἔμπροσθεν	V		in front of, before (gen)	
ὅπως	Conj		in order that, that	
τό ἔτος, -ους	V		a year	
ἡ παραβολή, -ῆς	Adj		a parable	
ὁ χρόνος, -ου	V		time	
ἀποδίδωμι	N		to give back, pay; to sell (middle)	
μακάριος, -α, -ον	N		blessed, happy	
σπείρω	N		to sow	
ἡ γραφή, -ῆς	N		a writing, Scripture	
ἡ χρεία, -ας	Pre		a need	
παραλαμβάνω	N		to receive, take	
ἔσχατος, -η, -ον	V		last	
εὐαγγελίζω	Adv		to bring good news, preach good tidings	
ἡ σοφία, -ας	N		wisdom	
διό	Conj		wherefore	
ἄχρι	Part		as far as, up to (gen); until (as conjunction)	
ἄρα	N		then, therefore	
Μαρία, -ας	N		Mary	
ἡ ἐπαγγελία, -ας	V		a promise	
φανερόω	V		to manifest, make manifest, reveal	
ἡ γλῶσσα, -ης	Adj		a tongue, language	
ἡ ἐλπίς, -ίδος	N		hope	
ἡ ἔρημος, -ου	Adv		a desert, wilderness	
οὐχί	Adj		not	
πείθω	Adj		to persuade	
τυφλός, -ή, -όν	N		blind	
τό παιδίον, -ου	N		an infant, child	
