Phrase	Grammar	Transcription	Translation	Notes
חַיָיל			soldier	
חַיֶילֶת			soldier (f)	
כּוֹחַ			power/strength, force	L20
כּוֹחוֹת			powers/strengths, forces	L20
מְדִינָה			state, country	L20
מֶמְשָלָה			government	L20
נָשִֹיא			president	L20
נְשִֹיאָה			President (f)	L20
פִּרְסוֹמֶת			advertisement, commercial	L20
קוֹנָה			buyer (f)	L20
רֹאש מֶמְשָלָה			Prime Minister	L20
רֹאש עִיר			mayor	L20
שְבִיתָה			strike	L20
זוֹכֵר			remember	L20
זוֹכֶרֶת			remember (f)	L20
לִזְכּוֹר			to remember	L20
לְהַגִיד			to tell/declare 	L20
סוֹגֵר			close/shut	L20
סוֹגֶרֶת			close ( f)	L20
לִסְגוֹר			To close	L20
שוֹכֵחַ			forget	L20
שוֹכֶחֶת			forget ( f)	L20
לִשְכּוֹחַ			To forget	L20
רָעֵב			hungry	L20
רְעֵבָה			hungry ( f)	L20
הַשָבוּעַ			this week	L20
סַבּוֹן			soap	L20
