Phrase	Grammar	Transcription	Translation	Notes
וַעֲדָה			committee	Noun 2L8
כּוֹס			glass	Noun 2L8
כִּיפָּה			cap / skull cap	Noun 2L8
כָּתֵף			shoulder	Noun 2L8
לְוָויָה			funeral	Noun 2L8
מִסְפָּרַיִים			scissors	Noun 2L8
מַשְמָעוּת			meaning	Noun 2L8
מִשְקָפַיִים			glasses	Noun 2L8
נָחָש			snake	Noun 2L8
עָלֶה			leaf	Noun 2L8
סֵדֶר			order	Noun 2L8
עֵרֶך			value	Noun 2L8
פֵּיאָה			side lock	Noun 2L8
פָּנִים			face	Noun 2L8
פְּרֵידָה			farewell / parting	Noun 2L8
בָּכָה			cry	Verb 2L8
לִבְכּוֹת			to cry	Verb 2L8
גָזַר			cut	Verb 2L8
לִגְזוֹר			to cut	Verb 2L8
דָרַש			demand	Verb 2L8
לִדְרוֹש			to demand	Verb 2L8
הֵכִין			prepare	Verb 2L8
לְהָכִין			to prepare	Verb 2L8
הִקְרִיב			sacrifice	Verb 2L8
לְהַקְרִיב			to sacrifice	Verb 2L8
הִשְתַתֵף			participate	Verb 2L8
לְהִשְתַתֵף			to participate	Verb 2L8
הִתְנַהֵג			behave	Verb 2L8
לְהִתְנַהֵג			to behave	Verb 2L8
הִתְקָרֵב			approach	Verb 2L8
לְהִתְקָרֵב			to approach	Verb 2L8
זָרַק			throw	Verb 2L8
לִזְרוֹק			to throw	Verb 2L8
נִפְרַד			part from	Verb 2L8
לְהִיפָּרֵד			to part from	Verb 2L8
צִילֵם			photograph	Verb 2L8
לְצַלֵם			to photograph	Verb 2L8
קִיוָוה			hope	Verb 2L8
לְקַווֹת			to hope	Verb 2L8
שָבַר			break	Verb 2L8
אָהוּב			beloved	Adjective 2L8
אֲהוּבָה			beloved (f)	Adjective 2L8
אִיטִי			slow	Adjective 2L8
אִיטִית			slow (f)	Adjective 2L8
חֲסִידִי			hassidic	Adjective 2L8
חֲסִידִית			hassidic (f)	Adjective 2L8
רִאשוֹנִי			primary	Adjective 2L8
רִאשוֹנִית			primary (f)	Adjective 2L8
בִּכְלָל			at all	2L8
דוֹמֶה ל...			similar to	2L8
כְּדֵי			in order to	2L8
סִידוּר			prayer book	2L8
