Phrase	Grammar	Transcription	Translation	Notes
בַּנָנָה			banan	
מוּזֵאוֹן			muzeum	
סוּכָּר			cukier	
סוּפֶּרְמַרְקֶט			supermarket	
פּוֹלִיטִיקָה			polityka	
תַאַטְרוֹן			teatr	
אַרְצוֹת הַבְּרִית			Stany Zjednoczone	
בֶּלְגִיָה			Belgia	
בְּרָזִיל			Brazylia	
דֶנֶמַרְק			Dania	
יַפָּן			Japonia	
פּוֹלִין			Polska	
פּוֹרְטוּגָל			Portugalia	
פֶּרוּ			Peru	
בּוּאֶנוֹס אַיְירֶס			Buenos Aires	
בּוֹסְטוֹן			Boston	
בְּרִיסֶל			Bruksela	
בּת יָם			Bat Yam	
וַרְשָה			Warszawa	
לִימָה			Lima	
לִיסְבּוֹן			Lizbona	
קוֹפֶנְהָגֶן			Kopenhaga	
אַבָּא			tata	
אוּלְפָּן			kurs języka hebrajskiego	
אֶשְכּוֹלִית			grapefruit	
בַּיִת			dom	
יַפָּנִית			język japoński	
כִּיתָה			klasa	
מִשְפָּחָה			rodzina	
עוֹלָם			świat	
פּוֹלָנִית			język polski	
פּוֹרְטוּגֶזִית			język portugalski	
תַפּוּז			pomarańcza	
מְדַבֵּר			mówi	 
בְּ			w	
לְיַד			przy; obok	
עַל			na; o	
אֵין			nie ma	
בְּסֵדֶר			w porządku	
הַכּוֹל			wszystko	
הַרְבֵּה			dużo	
יֵש			jest; znajduje się	
יֵש!			tak!	
כָּל הָעוֹלָם			cały świat	
כֵּן			tak	
פֹּה			tutaj	
