Phrase	Grammar	Transcription	Translation	Notes
של		shel	of / belongs to	
את		at	you (f.s.)	
את		et	the (direct object)	
על		al	on / about / top	
לא		lo	no	
הוא		hu	he	
עם		im	with	
עם		am	people / nation	
כי		ki	because	
היה		haya	was (m.s.)	
זה		ze	this / that	
גם		gam	also / too	
ב		be	in	
כל		kol	all	
ה		ha	the	
בין		bein	between / among	
בין		bin	within	
או		o	or	
אל		el	to / God	
אל		al	don't	
אך		akh	but / hardly	
יותר		yoter	more	
היא		hi	she	
לאחר		le'akhar	after	
לאחר		le'akher	to be late	
לאחר		la'akher	to/for the other	
אבל		aval	but	
אבל		evel	mourning	
אבל		avel	mourner	
ל		le	to	
ל		la	to the	
היו		hayu	were (m.)	
עד		ad	until / eternity	
עד		ed	witness	
זו		zo	this (f.)	
הם		hem	they (m.)	
אשר		asher	that / which	
הייתה		haita	she was	
בשנת		bishnat	in the year [X] / in the year of	
כך		kakh	so / like this / thus	
רק		rak	only	
אף		af	also / even / nose	
ביותר		beyoter	most, very much	
אני		ani	I / me	
עוד		od	more	
עוד		ud	musical instrument	
רבים		rabim	many	
רבים		ravim	fighting (m.pl.)	
כמו		kmo	like / as	
בית		bayit	home / house	
אם		im	if	
אם		em	mother	
זאת		zot	this (f.)	
שם		sham	there	
שם		shem	name	
יש		yesh	there is / one must	
מה		ma	what	
לי		li	to me / for me	
כן		ken	yes / sincere	
כן		kan	stand (n.)	
כ		ke	like / as / approximately	
לו		lo	to him	
לו		lu	if (wishing)	
מספר		mispar	number	
מספר		mesaper	tell (m.s.) / narrator	
בו		bo	in him / in it	
העיר		ha'ir	the city	
העיר		he'ir	made a comment / woke someone up (m.s.)	
מ		me	from	
כדי		kedei	in order to	
אותו		oto	him / it	
דבר		davar	thing / matter / something / word / speech / saying / command / to speak / to say	
דבר		dever	plague	
דבר		daber	speak (m.s. imperative)	
ו		ve	and	
ו		u	and	
בכל		bekhol	in all / at all	
אלו		elu	these	
שני		sheni	second	
שני		shnei	two	
שני		shani	scarlet	
אלה		ele	these	
אלה		ela	goddess	
אלה		ala	bat	
כאשר		ka'asher	when / while	
אין		ein	there is no	
אין		ain	nothing / naught / where	
אמר		amar	said (m.s.)	
באופן		beofen	in a way	
הברית		habrit	the pact / the alliance / the covenant / the circumcision	
מן		min	from	
שלא		shelo	that [is] not	
ידי		yadai	my hands	
ידי		yadi	my hand	
ידי		yedei	the hands of	
לפני		lifnei	before / in front of / ago	
הן		hen	they (f.)	
העולם		ha'olam	the world	
פי		pi	my mouth / multiplied by	
במהלך		bemahalakh	during	
שלו		shelo	his / belongs to him	
שלו		shalev	calm	
בה		ba	in her / in it	
מאד		me'od	very	
ניתן		nitan	possible	
ניתן		niten	we will give	
אז		az	then	
בעל		ba'al	owner / husband	
אחרים		akherim	other (m.pl.) / others (m.)	
דרך		derekh	way / road	
דרך		darakh	stepped on (m.s.)	
ולא		velo	and not	
ולא		valo	if not	
חלק		khelek	part	
חלק		khalak	smooth / shared (m.s.)	
אותה		ota	her / it	
בן		ben	son	
בני		bni	my son	
בני		banai	my sons	
אולם		ulam	but / hall	
אחר		akher	other	
אחר		akhar	after	
כמה		kama	how many / how much / some / yearned (m.s.)	
כמה		kameha	yearn (m.s.)	
המאה		hame'a	the century / the hundred	
החל		hekhel	started (m.s.)	
החל		hakhel	starting from	
