Phrase	Grammar	Transcription	Translation	Notes
גָּדוֹל			duży	
לָבָן			biały	
שָׁחוֹר			czarny	
קָטָן			mały	
חָדָשׁ			nowy	
טָעִים			smaczny	
יָשָׁן			stary	
זָקֵן			stary	
צָעִיר			młody	
חָלָשׁ			słaby	
צָנוּע			skromny	
חָכָם			mądry	
רָחָב			szeroki	
חָרוּץ			pilny	
יָקָר			drogi	
חָבֵר			przyjaciel	
שָׁכֵן			sąsiad	
מָקוֹם			miejsce	
הוֹרִים			rodzice	
אִישׁ			człowiek	
אֲנָשִׁים			ludzie	
תְּשׁוּבָה			odpowiedź	
רְשִׁימָה			spis	
סֶרֶט			film	
מָרָק			zupa	
עוּגָה			ciasto; tort	
רְחוֹב			ulica	
בַּיִת			dom	
בָּתִים			domy	
מִשְׁפָּט			zdanie	
מִשְׁפָּחָה			rodzina	
שֵׁם מִשְׁפָּחָה			nazwisko	
הוֹרִים			rodzice	
אַבָּה			tata	
אַבָּא			tata	
אָב			ojciec	
אִמָּא			mama	
אֵם			matka	
בַּעַל			mąż	
אִשָּׁה			żona	
נָשׂוּי			żonaty	
נְשׂוּאָה			zamężna	
בֵּן			syn	
בָּנִים			synowie	
בַּת			córka	
בָּנוֹת			córki	
יֶלֶד			dziecko	
יְלָדִים			dzieci	
קְרוֹבִים			krewni	
אָח			brat	
אַחִים			bracia	
אָחוֹת			siostra	
אֲחָיוֹת			siostry	
דּוֹד			wujek	
דּוֹדָה			ciotka	
בֶּן דּוֹד			kuzyn	
בַּת דּוֹדָה			kuzynka	
סַבָּא			dziadek	
סַבְתָּא			babcia	
רַוָק			kawaler	
רַוָקָה			panna; niezamężna	
גָּרוּשׁ			rozwiedziony	
גְּרוּשָׁה			rozwiedziona	
גַּן יְלָדִים			przedszkole	
בֵּית סֵפֶר			szkoła	
עוֹלֶה			repatriant	
מַחְשֵׁב			komputer	
מַהֵר			szybko	
מְעַט			trochę	
רַק			tylko	
דִבֵּר			mówił	
לְדַבֵּר			mówić	
רֹאשׁ			głowa	
גָּרוֹן			gardło	
עִם			z	
כַּרְטִיס			bilet	
נַעַל			pantofel	
נַעֲלַיִם			pantofle	
סַבּוֹן			mydło	
אֵיפֹה			gdzie	
יְהוּדִי			Żyd	
דִּקְדּוּק			gramatyka	
אֻלְפָּן			ulpan; studio	
דָּאַג			martwił się	
לִדְאוֹג לְ			martwić się	
כָּאַב			bolał	
לִכְאוֹב			boleć	
שָׁאַף			dążył	
לִשְׁאוֹף			dążyć	
נָעַל			nosił obuwie	
לִנְעוֹל			nosić obuwie	
כָּעַס			gniewał się	
לִכְעוֹס עַל			gniewać się na	
טָעַם			spróbował; skosztował	o potrawie
לִטְעוֹם מִ			spróbować; skosztować	o potrawie
צָעַק			krzyczał	
לִצְעוֹק			krzyczeć	
צָחַק			śmiał się	
לִצְחוֹק			śmiać się	
רָחַץ			mył; szorował	
לִרְחוֹץ			myć; szorować	
פָּחַד			bał się	
לִפְחוֹד			bać się	
נָהַג			prowadził samochód; miał zwyczaj	
לִנְהוֹג בְּ			prowadzić samochód; mieć zwyczaj	
בָּחַר			wybrał	
לִבְחוֹר בְּ			wybierać	
