Phrase	Grammar	Transcription	Translation	Notes
अफ़सोस	N m		żal	
अफ़सोस की बात			niestety	
अब			teraz	
अस्पताल	N m		szpital	
आना			przychodzić; iść	
इण्डिया	N m		Indie	
इधर			tutaj	
उच्चारण	N m		wymowa	
करना			robić	
कहना			mówić	
कुछ			coś; trochę; nieco	
कोई			ktoś	
कोई बात नहीं			To nic!	
कौन-सा			który?	
ज़रा			trochę; niedużo	
जल्दी			szybko	
जवाब	N m		odpowiedź	
जवाब देना			odpowiadać	
जाना			odchodzić; iść	
ठीक			poprawny; dokładny	
तथा			i; także	
तरह	N m		sposób; rodzaj	
की तरह			tak jak	
अच्छी तरह			dobrze	
तीसरा			trzeci	
दिखाना			pokazywać	
देखना			patrzeć; widzieć	
देना			dawać	
नया			nowy	
पढ़ना			czytać; uczyć się	
पहले			kiedyś; wcześniej; na początku	
पानी			woda	
पीना			pić	
पूछना			pytać	
फिर			następnie; potem	
बकवास	N m		bzdura	
क्या बकवास			co za bzdura!	
बताना			opowiadać; oznajmiać; wytłumaczyć	
बात	N f		słowo; mowa; przedmiot	
बीमार			chory	
बुरा			zły	
बैठना			usiąść	
बोलना			mówić; rozmawiać	
भारत	N m		Indie	
भाषा	N f		język; mowa	
मगर			ale; jednakże	
मातृ-भाषा			język ojczysty	
मालूम			sławny	
मास्टर	N m		panie magistrze	
याद	N f		pamięć; wspomnienie	
रंगीन			kolorowy; barwny	
रास्ता	N m		droga	
रोशन			jasny; oświetlony	
लखना			pisać	
लिखावट	N f		charakter pisma	
लेकिन			ale; jednakże	
लेना			brać	
लोग	N m		ludzie	
वापस			z powrotem	
वापस आना			wracać	
विश्वविद्यालय	N m		uniwersytet	
शहर	N m		miasto	
शायद			zapewne; być może	
शुक्रिया			dziękuję!	
सीखना			uczyć się; studiować	
सुंदर			piękny	
सुनना			słuchać; słyszeć	
हिंदी			hinduski; język hindi	
हिंदुस्तान			Indie; Hindustan	
होना			być; stawać się	
