Phrase	Grammar	Transcription	Translation	Notes
नमस्ते			Dzień dobry
मैं			ja
हूँ			jestem
क्या			czy
आप			Wy	formalnie
जी			proszę pana; proszę pani	wyrażenie szacunku
हैं			są
जी हाँ			tak
यह			to
लड़का			chłopiec
है			jest
तुम			ty
ठीक			w porządku; dobrze
हो			jesteś
शुक्रिया			dziękuję
अंग्रेज़			angielski
जी नहीं			nie
नहीं			nie
हिन्दुस्तानी			indyjski
अच्छा			dobrze; naprawdę?; ach tak
हाँ			tak
वह			tamto
गाड़ी			samochód
जापानी			japoński
मारुति			Maruti	marka indyjskiego samochodu
कमरा			pokój
बहुत			bardzo
बड़ा			duży
दूसरा			inny
छोटा			mały
सिर्फ			tylko
एक			jeden
अलमारी			szafa
ख़ाली			pusty; niezajęty
ज़रूर			oczywiście
दोनों			obydwoje
और			i
यहाँ			tutaj
मेज़			stół
दो			dwa
कुरसी			krzesło
पंखा			wiatrak	do chłodzenia podczas upałów
लेकिन			ale
खिड़की			okno
काफी			dość
साफ़			czysty
हवादार			przewiewny
अमरीकन			amerykański
आदमी			człowiek; osoba
आशा			nadzieja
गुजराती			Gudżarati
चाचा			wuj ze strony ojca
चिड़िया			ptak
जनवरी			styczeń
जर्मन			niemiecki
तीन			trzy
तू			ty
दादी			babcia
पंजाबी			pendżabski
पत्थर			kamień
पलंग			łóżko
पाकिस्तानी			pakistański
पिता			ojciec
पुराना			stary
प्रति			kopia
बगीचा			ogród
बच्चा			dziecko
बहू			synowa
बूढ़ा			w podeszłym wieku
भारतीय			indyjski
भाषा			język
मकान			dom
माता			matka
मानव			człowiek; istota ludzka
मूर्ति			posąg; obraz
ये			ci; oni
रविवार			niedziela
राजा			król
रूसी			rosyjski
लड़की			dziewczynka
लाल			czerwony
लोग			ludzie
वे			tamci; oni
सफ़ेद			biały
साइकिल			rower
सुन्दर			piękny
हम			my
हिन्दू			hinduski
