Phrase	Grammar	Transcription	Translation	Notes
Հայաստանը			Armenia	
փոքր			mały	
երկիր			kraj	
է			jest	
ունենալ			mieć	
ունի			ma	
երեք ու կես			trzy i pół	
միլիոն			milion	
բնակիչ			mieszkaniec	
հայերը			armeńczycy	
խոսել			mówić	
հայերեն			język ormiański	
հին			stary	
լեզու			język	
ինչպես			jak; jako	
անգլերեն			język angielski	
ֆրանսերեն			język francuski	
գերմաներեն			język niemiecki	
և			i	
այլ			inny	
հնդեվրոպական			Indo-Europejski	
հայկական			ormiański	
այբուբեն			alfabet	
այն			to	
ստեղծել			stworzyć	
ստեղծել է			stworzył	
թվական			data; rok	
տառ			litera	
ամենահին			najstarszy	
քրիստոնյա			chrześcijański	
երկիր			kraj	
ընդունել			przystosować	
ընդունել է			przystosował	
քրիստոնեություն			chrześcijaństwo	
Հայաստան			Armenia	
հայ			Ormianin	
հայուհի			Ormianka	
հայերեն			język ormiański	
հայկական			ormiański	
հայ			ormiański	
Ամերիկա			Ameryka	
ամերիկացի			amerykanin	
ամերիկուհի			amerykanka	
անգլերեն			język angielski	
ամերիկյան			amerykański	
Կանադա			Kanada	
կանադացի			kanadyjczyk	
կանադուհի			kanadyjka	
անգլերեն			język angielski	
ֆրանսերեն			język francuski	
կանադական			kanadyjski	
Անգլիա			Anglia	
անգլիացի			anglik	
անգլուհի			angielka	
անգլերեն			język angielski	
անգլիական			angielski	
Ռուսաստան			Rosja	
ռուս			rosjanin	
ռուս			rosjanka	
ռուսերեն			język rosyjski	
ռուսական			rosyjski	
Ֆրանսիա			Francja	
ֆրանսիացի			francuz	
ֆրանսուհի			francuzka	
ֆրանսերեն			język francuski	
ֆրանսիական			francuski	
Գերմանիա			Niemcy	
գերմանացի			niemiec	
գերմանուհի			niemka	
գերմաներեն			język niemiecki	
գերմանական			niemiecki	
Իտալիա			Włochy	
իտալացի			włoch	
իտալուհի			włoszka	
իտալերեն			język włoski	
իտալական			włoski	
Իսպանիա			Hiszpania	
իսպանացի			hiszpan	
իսպանուհի			hiszpanka	
իսպաներեն			język hiszpański	
իսպանական			hiszpański	
Չինաստան			Chiny	
չինացի			chińczyk	
չինուհի			chinka	
չինարեն			język chiński	
չինական			chiński	
Ճապոնիա			Japonia	
ճապոնացի			japończyk	
ճապոնուհի			japonka	
ճապոներեն			język japoński	
ճապոնական			japoński	
Հունաստան			Grecja	
հույն			grek	
հույն			greczynka	
հունարեն			język grecki	
հունական			grecki	
հույն			grecki	
Եգիպտոս			Egipt	
եգիպտացի			egipcjanin	
եգիպտուհի			egipcjanka	
արաբերեն			język arabski	
եգիպտական			egipski	
Վրաստան			Gruzja	
վրացի			gruzin	
վրացուհի			gruzinka	
վրացերեն			język gruziński	
վրացական			gruziński	
վրաց			gruziński	
Թուրքիա			Turcja	
թուրք			turek	
թրքուհի			turczynka	
թուրքերեն			język turecki	
թուրքական			turecki	
թուրք			turecki	
Պարսկաստան			Iran	
պարսիկ			irańczyk	
պարսկուհի			iranka	
պարսկերեն			język perski	
պարսկական			irański; perski	
Լեհաստան			Polska	
լեհ			polak	
լեհուհի			polka	
լեհերեն			język polski	
լեհական			polski	
Լիբանան			Liban	
լիբանանցի			libańczyk	
լիբանանցի			libanka	
արաբերեն			język arabski	
լիբանանյան			libański	
Ռումինիա			Rumunia	
ռումինացի			rumun	
ռումինուհի			rumunka	
ռումիներեն			język rumuński	
ռումինական			rumuński	
Հունգարիա			Węgry	
հունգարացի			węgier	
հունգարուհի			węgierka	
հունգարերեն			język węgierski	
հունգարական			węgierski	
Հնդկաստան			Indie	
հնդիկ			hindus	
հնդկուհի			hinduska	
հնդկերեն			język hindi	
հնդկական			indyjski	
Հոլանդիա			Holandia	
հոլանդացի			holender	
հոլանդուհի			holenderka	
հոլանդերեն			język niderlandzki	
հոլանդական			holenderski	
Իսրայել			Izrael	
իսրայելցի			izraelczyk	
հրեա			żyd	
հրեուհի			izraelka	
եբրայերեն			język hebrajski	
իսրայելական			izraelski	
հրեական			żydowski	
Բուլղարիա			Bułgaria	
բուլղարացի			bułgar	
բուլղարուհի			bułgarka	
բուլղարերեն			język bułgarski	
բուլղարական			bułgarski	
մեկ			jeden	
երկու			dwa	
երեք			trzy	
չորս			cztery	
հինգ			pięć	
վեց			sześć	
յոթ			siedem	
ութ			osiem	
ինն			dziewięć	
ինը			dziewięć	
տասն			dziesięć	
տասը			dziesięć	
տասնմեկ			jedenaście	
տասներկու			dwanaście	
տասներեք			trzynaście	
տասնչորս			czternaście	
տասնհինգ			piętnaście	
տասնվեց			szesnaście	
տասնյոթ			siedemnaście	
տասնութ			osiemnaście	
տասնինն			dziewiętnaście	
քսան			dwadzieścia	
քսանմեկ			dwadzieścia jeden	
քսաներկու			dwadzieścia dwa	
քսաներեք			dwadzieścia trzy	
քսանչորս			dwadzieścia cztery	
քսանհինգ			dwadzieścia pięć	
քսանվեց			dwadzieścia sześć	
քսանյոթ			dwadzieścia siedem	
քսանութ			dwadzieścia osiem	
քսանինն			dwadzieścia dziewięć	
երեսուն			trzydzieści	
երեսունմեկ			trzydzieści jeden	
երեսուներկու			trzydzieści dwa	
երեսուներեք			trzydzieści trzy	
երեսունչորս			trzydzieści cztery	
երեսունհինգ			trzydziści pięć	
երեսունվեց			trzydzieści sześć	
երեսունյոթ			trzydzieści siedem	
երեսունութ			trzydzieści osiem	
երեսունինն			trzydzieści dziewięć	
քառասուն			czterdzieści	
հիսուն			pięćdziesiąt	
վաթսուն			sześćdziesiąt	
յոթանասուն			siedemdziesiąt	
ութսուն			osiemdziesiąt	
իննսուն			dziewięćdziesiąt	
հարյուր			sto	
երկու հարյուր			dwieście	
երեք հարյուր			trzysta	
չորս հարյուր			czterysta	
հինգ հարյուր			pięćset	
վեց հարյուր			sześćset	
յոթ հարյուր			siedemset	
ութ հարյուր			osiemset	
ինն հարյուր			dziewięćset	
հազար			tysiąc	
հազար մեկ			tysiąc jeden	
հազար երկու			tysiąc dwa	
երկու հազար			dwa tysiące	
երեք հազար			trzy tysiące	
տասը հազար			dziesięć tysięcy	
քառասունմեկ			czterdzieści jeden	
քառասուներկու			czterdzieści dwa	
քառասուներեք			czterdzieści trzy	
հիսունչորս			pięćdziesiąt cztery	
հիսունհինգ			pięćdziesiąt pięć	
հիսունվեց			pięćdziesiąt sześć	
վաթսունյոթ			sześćdziesiąt siedem	
վաթսունութ			sześćdziesiąt osiem	
վաթսունինն			sześćdziesiąt dziewięć	
յոթանասունմեկ			siedemdziesiąt jeden	
յոթանասուներկու			siedemdzisiąt dwa	
յոթանասուներեք			siedemdzisiąt trzy	
ութսունչորս			osiemdziesiąt cztery	
ութսունհինգ			osiemdziesiąt pięć	
ութսունվեց			osiemdziesiąt sześć	
իննսունյոթ			dziewięćdziesiąt siedem	
իննսունութ			dziewięćdziesiąt osiem	
իննսունինն			dziewięćdziesiąt dziewięć	
հարյուր մեկ			sto jeden	
հարյուր տասնմեկ			sto jedenaście	
հազար ութ հարյուր իննսունվեց			tysiąc osiemset dziewięćdziesiąt sześć	
հազար ինն հարյուր տասնհին			tysiąc dziewięćset piętnaście	
հազար ինն հարյուր քսաներկու			tysiąc dziewięćset dwadzieścia dwa	
հազար ինն հարյուր ութսուներեք			tysiąc dziewięćset osiemdziesiąt trzy	
երկու հազար յոթ			dwa tysiące siedem	
քսաներեք հազար քսանյոթ			dwadzieścia trzy tysiące dwadzieścia siedem	
հարյուր հիսունչորս հազար երկու			sto pięćdziesiąt cztery tysiące dwa	
մեկ միլիոն			milion	
մեկուկես միլիոն			półtora miliona	
մեկ միլիոն հինգ հարյուր հազար			milion pięćset tysięcy	
երեսունչորս միլիոն վեց հարյուր ութսունյոթ հազար երկու հարյուր			trzydzieści cztery miliony sześćset osiemdziesiąt siedem tysięcy dwieście	
գումարում			dodawanie	
Հինգին գումարած վեց հավասար է տասնմեկի։			Pięć plus sześć równa się jedenaście.	
հանում			odejmowanie	
Տասից հանած ինը հավասար է մեկի։			Dziesięć minus dziewięć równa się jeden.	
բազմապատկում			mnożenie	
Չորս անգամ հինգ հավասար է քսանի։			Cztery razy pięć równa się dwadzieścia.	
բաժանում			dzielenie	
Երեսունը բաժանած վեցի հավասար է հինգի։			Trzydzieści podzielić na sześć równa się pięć.	
